,Area,Release Date,Opening,Gross,imdb_id,Release Group,Rollout,Markets,Domestic,International,Worldwide,Filmmakers,Role,APAC,# Releases,Lifetime Gross,Rank
0,Domestic,"Jan 5, 2007","$9,405,582","$36,605,602",tt0463998,,,,,,,,,,,,
0,Domestic,"Jan 5, 2007","$6,608,244","$15,589,393",tt0308353,,,,,,,,,,,,
0,Domestic,"Dec 15, 2006","$6,000","$51,708",tt0763840,,,,,,,,,,,,
0,Domestic,"Jan 5, 2007","$4,300,000","$8,135,024",tt0462229,,,,,,,,,,,,
0,Domestic,"Jan 12, 2007","$21,833,312","$61,356,221",tt0775539,,,,,,,,,,,,
0,,,,,tt0344854,Original Release,"November 29, 2006-June 5, 2008",46 markets,"$15,132,763","$92,811,473","$107,944,236",,,,,,
0,Domestic,"Jan 12, 2007","$6,048,315","$10,597,734",tt0772193,,,,,,,,,,,,
0,Domestic,"Jan 12, 2007","$6,412,775","$15,309,602",tt0426883,,,,,,,,,,,,
0,Domestic,"Jan 19, 2007","$8,234,000","$16,472,961",tt0455960,,,,,,,,,,,,
0,Domestic,"Feb 16, 2007","$22,564,612","$82,272,442",tt0398808,,,,,,,,,,,,
0,Domestic,"May 2, 2007","$92,034","$19,074,800",tt0473308,,,,,,,,,,,,
0,,,,,tt0397044,Original Release,"January 25-August 16, 2007",19 markets,"$3,526,847","$2,784,270","$6,311,117",,,,,,
0,Domestic,"Jan 26, 2007","$18,612,544","$39,739,367",tt0799949,,,,,,,,,,,,
0,,,,,tt0425430,Original Release,"February 2-May 29, 2008",43 markets,"$35,374,833","$19,635,826","$55,010,659",,,,,,
0,Domestic,"Feb 2, 2007","$13,122,865","$42,674,040",tt0490084,,,,,,,,,,,,
0,Domestic,"Feb 9, 2007","$13,051,650","$27,670,986",tt0367959,,,,,,,,,,,,
0,Domestic,"Feb 9, 2007","$34,195,434","$95,673,607",tt0477051,,,,,,,,,,,,
0,,,,,tt0382932,Original Release,"June 28-October 19, 2007",63 markets,"$206,445,654","$417,280,431","$623,726,085",,,,,,
0,Domestic,"Feb 23, 2007","$4,454,319","$11,003,643",tt0469263,,,,,,,,,,,,
0,Domestic,"Feb 16, 2007","$45,388,836","$115,802,596",tt0259324,,,,,,,,,,,,
0,Domestic,"Feb 16, 2007","$10,504,990","$33,231,264",tt0401997,,,,,,,,,,,,
0,Domestic,"Feb 14, 2007","$11,210,754","$31,366,978",tt0778661,,,,,,,,,,,,
0,Domestic,"Feb 14, 2007","$13,623,630","$50,572,589",tt0758766,,,,,,,,,,,,
0,Domestic,"Feb 23, 2007","$15,107,000","$35,193,167",tt0481369,,,,,,,,,,,,
0,Domestic,"Feb 23, 2007","$10,273,477","$20,342,161",tt0499554,,,,,,,,,,,,
0,,,,,tt0425112,Original Release,"February 16-February 8, 2008",42 markets,"$23,637,265","$57,106,098","$80,743,363",,,,,,
0,Domestic,"Apr 27, 2007","$7,133,049","$18,211,013",tt0435705,,,,,,,,,,,,
0,,,,,tt0443706,Original Release,"March 2-September 6, 2007",58 markets,"$33,080,084","$51,705,830","$84,785,914",,,,,,
0,Domestic,"Mar 2, 2007","$39,699,023","$168,273,550",tt0486946,,,,,,,,,,,,
0,,,,,tt0416449,Original Release,"March 7-June 9, 2007",63 markets,"$210,614,939","$245,453,242","$456,068,181",,,,,,
0,Domestic,"Mar 23, 2007","$10,200,000","$21,471,047",tt0768212,,,,,,,,,,,,
0,Domestic,"Aug 3, 2007","$972,066","$18,670,946",tt0416508,,,,,,,,,,,,
