,Rank,Release,Genre,Budget,Running Time,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Distributor,Estimated
0,1,Star Wars: Episode IV - A New Hope,-,-,-,"$307,263,857",1750,"$1,554,475",0.5%,43,May 25,-,Twentieth Century Fox,False
1,2,Smokey and the Bandit,-,-,-,"$126,737,428",-,-,-,-,May 27,-,Universal Pictures,False
2,3,Close Encounters of the Third Kind,-,-,-,"$116,395,460",650,-,-,-,Nov 16,-,Columbia Pictures,False
3,4,Saturday Night Fever,-,-,-,"$94,213,184",726,"$3,878,099",4.1%,504,Dec 16,-,Paramount Pictures,False
4,5,A Bridge Too Far,-,-,-,"$50,750,000",-,-,-,-,Jun 15,-,United Artists,False
5,6,The Deep,-,-,-,"$47,346,365",731,"$6,835,540",14.4%,731,Jun 17,-,Columbia Pictures,False
6,7,The Spy Who Loved Me,-,-,-,"$46,838,673",200,-,-,200,Jul 13,-,United Artists,False
7,8,"Oh, God!",-,-,-,"$41,687,243",198,"$2,040,920",4.9%,198,Oct 7,-,Warner Bros.,False
8,9,Annie Hall,-,-,-,"$38,251,425",-,-,-,-,Apr 20,-,United Artists,False
9,10,Semi-Tough,-,-,-,"$37,187,139",-,-,-,-,Nov 11,-,United Artists,False
10,11,Pete's Dragon,-,-,-,"$35,488,000",-,-,-,-,Dec 16,-,Walt Disney Studios Motion Pictures,False
11,12,Heroes,-,-,-,"$33,500,000",-,-,-,-,Nov 17,-,Universal Pictures,False
12,13,High Anxiety,-,-,-,"$31,063,038",-,-,-,-,Dec 25,-,Twentieth Century Fox,False
13,14,Exorcist II: The Heretic,-,-,-,"$30,749,142",703,"$6,735,000",21.9%,703,Jun 17,-,Warner Bros.,False
14,15,The Rescuers,-,-,-,"$29,000,000",-,-,-,-,Jun 22,-,Walt Disney Studios Motion Pictures,False
15,16,Herbie Goes to Monte Carlo,-,-,-,"$28,000,000",-,-,-,-,Jun 24,-,Walt Disney Studios Motion Pictures,False
16,17,Slap Shot,-,-,-,"$28,000,000",-,-,-,-,Feb 25,-,Universal Pictures,False
17,18,The Gauntlet,-,-,-,"$26,414,658",-,-,-,-,Dec 21,-,Warner Bros.,False
18,19,The Turning Point,-,-,-,"$25,933,445",5,-,-,-,Nov 14,-,Twentieth Century Fox,False
19,20,Freaky Friday,-,-,-,"$25,642,000",-,-,-,-,Jan 21,-,Walt Disney Studios Motion Pictures,False
20,21,The Other Side of Midnight,-,-,-,"$24,652,021",-,-,-,-,Jun 8,-,Twentieth Century Fox,False
21,22,Looking for Mr. Goodbar,-,-,-,"$22,512,655",110,"$1,540,635",6.8%,110,Oct 19,-,Paramount Pictures,False
22,23,Julia,-,-,-,"$20,714,400",-,-,-,-,Oct 2,-,Twentieth Century Fox,False
23,24,The Bad News Bears in Breaking Training,-,-,-,"$19,104,350",-,-,-,-,Jul 29,-,Paramount Pictures,False
24,25,For the Love of Benji,-,-,-,"$17,732,000",-,-,-,-,Jan 1,-,Twentieth Century Fox,False
25,26,"New York, New York",-,-,-,"$16,400,000",-,-,-,-,Jun 22,-,United Artists,False
26,27,Black Sunday,-,-,-,"$15,769,322",-,-,-,-,Mar 31,-,Paramount Pictures,False
27,28,Orca,-,-,-,"$14,717,854",-,-,-,-,Jul 13,-,Paramount Pictures,False
28,29,Bobby Deerfield,-,-,-,"$9,300,000",-,-,-,-,Sep 29,-,Columbia Pictures,False
29,30,Islands in the Stream,-,-,-,"$5,596,173",-,-,-,-,Mar 4,-,Paramount Pictures,False
30,31,"Race for Your Life, Charlie Brown",-,-,-,"$3,223,888",-,-,-,-,Jun 2,-,Paramount Pictures,False
31,32,March or Die,-,-,-,"$1,000,000",-,-,-,-,Aug 5,-,Columbia Pictures,False
32,33,Joseph Andrews,-,-,-,"$839,865",-,-,-,-,Oct 7,-,Paramount Pictures,False
33,34,Citizens Band,-,-,-,"$815,530",-,-,-,-,May 18,-,Paramount Pictures,False
34,35,Fraternity Row,-,-,-,"$290,674",-,-,-,-,Feb 18,-,Paramount Pictures,False
0,1,Grease,-,-,-,"$159,978,870",862,"$8,941,717",5.6%,862,Jun 16,-,Paramount Pictures,False
1,2,Superman,-,-,-,"$134,218,018",817,"$7,465,343",5.6%,508,Dec 15,-,Warner Bros.,False
2,3,National Lampoon's Animal House,-,-,-,"$120,091,123",12,"$276,538",0.2%,12,Jul 28,-,Universal Pictures,False
3,4,Every Which Way but Loose,-,-,-,"$85,196,485",1275,"$10,272,294",12.1%,1275,Dec 20,-,Warner Bros.,False
4,5,Heaven Can Wait,-,-,-,"$81,640,278",540,"$3,652,486",4.5%,540,Jun 28,-,Paramount Pictures,False
5,6,Hooper,-,-,-,"$78,000,000",-,-,-,-,Jul 28,-,Warner Bros.,False
6,7,Jaws 2,-,-,-,"$77,737,272",640,"$9,866,023",12.7%,640,Jun 16,-,Universal Pictures,False
7,8,Revenge of the Pink Panther,-,-,-,"$49,579,269",-,-,-,-,Jul 19,-,United Artists,False
8,9,The Deer Hunter,-,-,-,"$48,979,328",-,-,-,-,Dec 8,-,Universal Pictures,False
9,10,Halloween,-,-,-,"$47,000,000",-,-,-,-,Oct 25,-,-,False
10,11,Foul Play,-,-,-,"$44,999,621",-,-,-,-,Jul 19,-,Paramount Pictures,False
11,12,The End,-,-,-,"$44,917,151",-,-,-,-,May 10,-,United Artists,False
12,13,Up in Smoke,-,-,-,"$44,364,244",-,-,-,-,Aug 11,-,Paramount Pictures,False
13,14,Midnight Express,-,-,-,"$35,000,000",-,-,-,-,Oct 27,-,Columbia Pictures,False
14,15,Coming Home,-,-,-,"$32,653,905",-,-,-,-,Feb 15,-,United Artists,False
15,16,The Lord of the Rings,-,-,-,"$30,471,420",31,"$626,649",2.1%,31,Nov 15,-,United Artists,False
16,17,House Calls,-,-,-,"$28,460,702",-,-,-,-,Jan 1,-,Universal Pictures,False
17,18,Damien: Omen II,-,-,-,"$26,518,355",525,"$3,880,880",14.6%,525,Jun 9,-,Twentieth Century Fox,False
18,19,Invasion of the Body Snatchers,-,-,-,"$24,946,533",445,"$1,298,129",5.2%,445,Dec 22,-,United Artists,False
19,20,Convoy,-,-,-,"$22,765,081",-,-,-,-,Jun 28,-,Metro-Goldwyn-Mayer (MGM),False
20,21,The Wiz,-,-,-,"$21,049,053",-,-,-,-,Oct 1,-,Universal Pictures,False
21,22,F.I.S.T.,-,-,-,"$20,388,920",-,-,-,-,Apr 26,-,United Artists,False
22,23,Sgt. Pepper's Lonely Hearts Club Band,-,-,-,"$20,378,470",-,-,-,-,Jul 21,-,Universal Pictures,False
23,24,Eyes of Laura Mars,-,-,-,"$20,000,000",-,-,-,-,Aug 2,-,Columbia Pictures,False
24,25,The One and Only,-,-,-,"$16,928,137",-,-,-,-,Feb 2,-,Paramount Pictures,False
25,26,Return from Witch Mountain,-,-,-,"$16,393,000",-,-,-,-,Mar 10,-,Walt Disney Studios Motion Pictures,False
26,27,Corvette Summer,-,-,-,"$15,514,367",-,-,-,-,Jun 2,-,Metro-Goldwyn-Mayer (MGM),False
27,28,The Greek Tycoon,-,-,-,"$14,672,713",-,-,-,-,Jan 1,-,Universal Pictures,False
28,29,Death on the Nile,-,-,-,"$14,560,084",-,-,-,-,Sep 29,-,Paramount Pictures,False
29,30,The Buddy Holly Story,-,-,-,"$14,363,400",-,-,-,-,May 19,-,Columbia Pictures,False
30,31,The Big Fix,-,-,-,"$13,062,708",-,-,-,-,Oct 1,-,Universal Pictures,False
31,32,The Other Side of the Mountain: Part II,-,-,-,"$11,565,678",-,-,-,-,Jan 1,-,Universal Pictures,False
32,33,Moment by Moment,-,-,-,"$10,963,824",-,-,-,-,Dec 22,-,Universal Pictures,False
33,34,Interiors,-,-,-,"$10,432,366",-,-,-,-,Aug 2,-,United Artists,False
34,35,Straight Time,-,-,-,"$9,900,000",-,-,-,-,Mar 17,-,Warner Bros.,False
35,36,Comes a Horseman,-,-,-,"$9,585,769",-,-,-,-,Oct 25,-,Metro-Goldwyn-Mayer (MGM),False
36,37,American Hot Wax,-,-,-,"$7,932,571",-,-,-,-,Mar 17,-,Paramount Pictures,False
