movieId,imdbId,tmdbId,year
49910,463998,1646,2007
50149,308353,5393,2007
50151,763840,14171,2007
50153,462229,14396,2007
50158,775539,1931,2007
50162,344854,9992,2007
50440,772193,4283,2007
50442,426883,7457,2007
50445,455960,8398,2007
50601,398808,1265,2007
50685,473308,10758,2007
50796,397044,10075,2007
50798,799949,9760,2007
50800,425430,9966,2007
50802,490084,1257,2007
50804,367959,1248,2007
50806,477051,9757,2007
50872,382932,2062,2007
50923,469263,5172,2007
51077,259324,1250,2007
51080,401997,4169,2007
51082,778661,16555,2007
51084,758766,11172,2007
51086,481369,3594,2007
51088,499554,10090,2007
51255,425112,4638,2007
51412,435705,1738,2007
51540,443706,1949,2007
51575,486946,11199,2007
51662,416449,1271,2007
51698,768212,2267,2007
51834,416508,2977,2007
51903,770772,14434,2007
51925,477071,9963,2007
51927,455760,14001,2007
51931,490204,2355,2007
51933,475355,16385,2007
51935,822854,7485,2007
51937,800069,9793,2007
51939,453556,1273,2007
52182,459605,192675,2007
52241,427470,8270,2007
52245,445934,9955,2007
52279,422774,10172,2007
52281,462322,253768,2007
52283,444682,1683,2007
52285,476995,10107,2007
52287,396555,1267,2007
52328,448134,1272,2007
52375,462338,9903,2007
52456,457433,7183,2007
52458,486822,8271,2007
52460,446013,1534,2007
52462,455326,13158,2007
52551,780595,16392,2007
52579,450188,1407,2007
52604,488120,6145,2007
52644,452702,10294,2007
52668,419843,13067,2007
52694,453451,1268,2007
52712,435670,9785,2007
52715,772178,13280,2007
52717,443473,14636,2007
52722,413300,559,2007
52724,338216,1950,2007
52838,756729,13574,2007
52867,458364,13171,2007
52973,478311,4964,2007
52975,427327,2976,2007
53000,463854,1562,2007
53002,791304,13159,2007
53004,800003,14547,2007
53121,413267,810,2007
53125,449088,285,2007
53127,470705,12526,2007
53129,780571,3432,2007
53131,389328,1872,2007
53133,441007,15568,2007
53154,874423,18902,2007
53189,494222,8748,2007
53207,411061,3489,2008
53322,496806,298,2007
53435,498353,1691,2007
53447,842929,1990,2007
53460,423294,9408,2007
53464,486576,1979,2007
53466,479500,14043,2007
53519,1028528,1991,2007
53769,989000,13120,2007
53859,473360,9815,2007
53894,386032,2359,2007
53921,829459,1988,2007
53953,450385,3021,2007
53956,795368,2196,2007
53963,432264,18425,2007
53972,337978,1571,2007
53974,762114,2959,2007
53988,765447,6022,2007
53993,413099,2698,2007
53996,418279,1858,2007
53999,374563,14125,2007
54001,373889,675,2007
54004,762107,3563,2007
54075,837106,13491,2007
54190,445922,4688,2007
54193,772157,13337,2007
54248,796314,18632,2007
54256,787475,10074,2007
54259,486655,2270,2007
54268,785077,15581,2007
54270,461703,14219,2007
54272,462538,35,2007
54274,897361,5857,2007
54276,481141,3638,2007
54278,467110,6589,2007
54281,423977,8669,2007
54284,458522,15934,2007
54286,440963,2503,2007
54290,804452,14123,2007
54331,796375,8141,2007
54378,890882,20163,2007
54503,829482,8363,2007
54505,488508,4658,2007
54510,808331,5956,2007
54513,796368,6535,2007
54612,416185,13074,2007
54614,825225,17274,2007
54621,796335,21494,2007
54648,293564,5174,2007
54686,462396,9703,2007
54732,424823,9750,2007
54734,815244,10760,2007
54736,431197,4349,2007
54738,486051,14223,2007
54745,477078,13068,2007
54768,462244,14144,2007
54771,427392,4858,2007
54775,499556,10431,2007
54778,775488,15156,2007
54780,489237,12435,2007
54783,473700,14877,2007
54785,373883,2082,2007
54787,804461,11835,2007
54796,841044,1845,2007
54881,923752,13958,2007
54908,804540,2335,2007
54934,784972,10071,2007
54962,810988,12994,2007
54967,792965,2882,2007
54972,421143,53975,2007
54978,484111,13501,2007
54995,1077258,1992,2007
54997,381849,5176,2007
54999,465602,4141,2007
55020,811106,13173,2007
55052,783233,4347,2007
55063,1093842,13241,2007
55069,1032846,2009,2007
55071,912593,12901,2007
55080,476964,4413,2007
55094,478134,6973,2007
55110,465436,4629,2007
55112,469184,15361,2007
55116,455782,5353,2007
55118,765443,2252,2007
55154,283503,13072,2007
55176,925248,14284,2007
55205,480269,8414,2007
55209,473188,10425,2007
55232,432021,7737,2007
55241,419984,13257,2007
55245,452625,10030,2007
55247,758758,5915,2007
55250,492956,13680,2007
55253,808357,4588,2007
55255,800027,14313,2007
55257,486640,2728,2007
55259,484562,2274,2007
55261,408839,9038,2007
55267,480242,7211,2007
55269,838221,4538,2007
55272,498399,2001,2007
55274,414055,4517,2007
55276,465538,4566,2007
55278,857265,4520,2007
55280,805564,6615,2007
55282,389722,4513,2007
55284,804522,5125,2007
55286,469623,3877,2007
55288,831884,8954,2007
55290,452623,4771,2007
55292,790804,10759,2007
55294,758798,14251,2007
55343,480011,13538,2007
55363,443680,4512,2007
55402,758732,15048,2007
55408,756672,9898,2007
55417,762110,1922,2007
55440,449018,15669,2007
55442,808417,2011,2007
55444,421082,5708,2007
55451,866437,5951,2007
55485,765451,18613,2007
55487,758771,9911,2007
55498,494834,14753,2007
55549,961117,27827,2007
55555,880502,2014,2007
55566,906108,17202,2007
55577,890870,663,2007
55603,780534,9262,2008
55620,912583,15651,2007
55668,446752,29362,2007
55687,912592,14279,2007
55705,817225,2015,2007
55721,861739,7347,2007
55729,388182,5718,2007
55732,415965,5126,2007
55765,765429,4982,2007
55768,389790,5559,2007
55805,292963,7972,2007
55814,401383,2013,2007
55820,477348,6977,2007
55830,799934,4953,2008
55844,496328,10520,2007
55851,790706,26336,2007
55872,426931,5123,2007
55901,445336,5817,2007
55908,756683,13363,2007
55946,891527,4515,2007
55955,486583,5375,2007
55995,442933,2310,2007
55999,457419,2284,2007
56001,484740,6639,2007
56028,822849,15006,2007
56030,988102,24060,2007
56079,780608,13168,2007
56093,488478,20714,2007
56095,995829,11148,2007
56145,884328,5876,2007
56152,461770,4523,2007
56156,465494,1620,2007
56158,937375,15250,2007
56165,804516,13474,2007
56167,1024943,8079,2007
56169,211933,13483,2007
56171,385752,2268,2007
56174,480249,6479,2007
56176,952640,6477,2007
56274,757361,13998,2007
56286,368794,3902,2007
56333,775529,8272,2007
56339,464141,6537,2007
56367,467406,7326,2007
56370,438859,1874,2007
56389,765120,1989,2007
56508,758784,13076,2007
56511,937237,11600,2007
56515,912580,13023,2007
56563,847817,13348,2007
56587,825232,7350,2007
56599,977649,66110,2007
56607,419887,7979,2007
56620,810823,12171,2007
56633,489664,13250,2007
56671,479289,9867,2007
56700,473356,14148,2007
56757,408236,13885,2007
56775,465234,6637,2007
56782,469494,7345,2007
56788,472062,6538,2007
56801,758730,440,2007
56805,841046,6575,2007
56846,960790,6076,2007
56885,427309,14047,2007
56908,490579,14118,2007
56915,760329,54318,2007
56941,431308,6023,2007
56945,841032,26990,2007
56949,988595,6557,2008
56995,893356,17181,2007
57147,795493,4787,2007
57183,986264,7508,2007
57223,372873,10253,2007
57243,1032856,5259,2007
57274,1038988,8329,2007
57326,460780,2312,2008
57353,780516,13195,2007
57368,1060277,7191,2008
57370,951216,12085,2008
57393,399095,4170,2007
57401,896798,13252,2007
57426,887719,15017,2007
57432,857295,8875,2007
57453,848542,18290,2007
57464,760311,10247,2007
57509,837803,15053,2007
57520,479968,6933,2008
57522,486578,14423,2008
57526,880578,8090,2008
57528,462499,7555,2008
57530,770810,16988,2007
57532,1073498,7278,2008
57534,406759,9030,2008
57536,489282,14220,2008
57538,785007,13160,2008
57637,780607,13059,2007
57640,411477,11253,2008
57669,780536,8321,2008
57792,825236,7973,2007
57805,816616,15020,2007
57811,970184,34981,2007
57843,901507,13054,2007
57845,800099,18893,2007
57910,780622,13121,2007
57949,494652,13490,2008
57951,770752,8676,2008
57964,780486,12855,2007
57970,892375,37003,2007
58025,489099,8247,2008
58029,807054,7992,2007
58033,937347,14105,2007
58047,832266,8390,2008
58078,485851,13641,2007
58103,443274,7461,2008
58105,416236,8204,2008
58107,1023481,8328,2008
58111,449994,14073,2008
58136,826547,25919,2007
58146,1001562,15365,2008
58154,467200,12184,2008
58156,839980,13260,2008
58162,425413,7942,2007
58185,1097256,38052,2007
58191,854678,13362,2007
58246,772168,11161,2007
58287,463027,21373,2007
58291,997047,13493,2008
58293,443649,7840,2008
58295,200465,8848,2008
58297,483607,13460,2008
58299,451079,12222,2008
58301,808279,8461,2007
58303,813547,7862,2007
58306,416044,12246,2007
58309,912599,16666,2007
58315,811138,12177,2008
58324,475998,15511,2008
58332,848557,13025,2007
58334,466816,2239,2007
58351,870090,7343,2007
58365,905979,28816,2007
58367,462023,14066,2007
58376,1166827,13016,2007
58381,807721,6391,2007
58418,455805,13196,2007
58425,1094594,14793,2007
58432,486674,8944,2008
58452,918557,45757,2007
58490,970468,12178,2008
58492,453548,14054,2007
58494,804505,8060,2007
58554,988108,28205,2007
58559,468569,155,2008
58595,914382,46883,2007
58622,814130,14014,2007
58627,1023111,8456,2008
58632,1032854,22521,2007
58641,1002540,79156,2007
58652,940709,13688,2008
58655,817538,8457,2008
58706,796307,32579,2007
58718,499570,18633,2007
58783,481797,7797,2007
58803,478087,8065,2008
58806,858479,12890,2008
58839,379865,4942,2008
58876,489281,8988,2008
58879,893382,7944,2008
58881,416675,18031,2007
58889,995061,18218,2008
58898,454065,13317,2007
58933,758053,16283,2007
58937,903627,7351,2008
58939,827713,8281,2007
58941,1068658,99339,2008
58964,856288,13312,2007
58972,410377,10488,2008
58975,963794,11152,2008
58992,1097239,15260,2007
58994,912590,18181,2007
58998,800039,9870,2008
59000,497972,14424,2007
59014,426592,11918,2008
59016,421073,1266,2008
59018,857191,12473,2007
59022,481536,13335,2008
59026,875113,8827,2007
59037,811080,7459,2008
59040,857376,9997,2007
59044,1007950,28704,2008
59065,488988,8319,2007
59103,865556,1729,2008
59105,963208,12179,2008
59107,815178,13079,2007
59116,437954,14324,2007
59118,1045670,10503,2008
59126,815241,13007,2008
59129,892899,9017,2008
59138,470732,38163,2007
59141,845046,13258,2007
59143,1111833,14236,2007
59256,800240,13018,2008
59258,871426,8780,2008
59295,1091617,13359,2008
59306,926129,8617,2008
59315,371746,1726,2008
59333,866439,10761,2008
59336,1012804,12400,2008
59339,475984,16135,2007
59362,497323,14000,2007
59369,936501,8681,2008
59376,977214,16450,2008
59382,826711,12198,2007
59404,790623,13243,2007
59418,802948,13008,2007
59421,1033643,9029,2008
59426,1080695,15957,2007
59435,795439,17106,2007
59501,499448,2454,2008
59549,942384,17483,2007
59590,1047007,21182,2007
59594,884224,13191,2008
59602,808486,38834,2007
59604,830558,15356,2007
59607,1112115,15281,2007
59615,367882,217,2008
59621,762104,13534,2007
59625,469099,50700,2008
59655,940620,22498,2008
59705,487273,38282,2007
59709,488604,12245,2007
59715,482599,10885,2008
59721,427998,15378,2007
59725,1000774,4564,2008
59727,482606,10665,2008
59729,379976,10822,2007
59731,1151309,13636,2008
59784,441773,9502,2008
59795,939681,16117,2007
59810,1000771,14050,2008
59814,812243,14019,2007
59900,960144,10661,2008
59908,803057,13172,2008
59910,829098,45791,2007
59915,758786,13848,2007
59985,460745,12912,2007
59995,1078188,14748,2007
60020,913968,14392,2007
60030,491162,18467,2007
60032,415856,14882,2007
60037,949731,8645,2008
60040,800080,1724,2008
60044,923600,5759,2008
60046,889588,13405,2008
60069,910970,10681,2008
60072,493464,8909,2008
60074,448157,8960,2008
60124,811128,13993,2007
60126,425061,11665,2008
60128,913445,13019,2007
60133,940585,21074,2007
60135,479547,26354,2007
60141,964587,10748,2007
60147,889652,14949,2007
60183,929235,41850,2008
60284,1204298,30106,2008
60286,889134,13065,2008
60289,846308,8359,2008
60291,479468,13003,2008
60293,1082886,13990,2008
60295,1114277,15272,2007
60322,888693,14349,2008
60333,1093824,12172,2008
60338,487928,15125,2008
60341,896866,8847,2008
60363,960890,13009,2008
60376,911010,33588,2007
60382,1157705,16800,2008
60389,870211,14111,2007
60391,1034427,17479,2007
60397,795421,11631,2008
60405,909388,20158,2007
60408,1064932,8265,2008
60418,816545,15654,2007
60421,847897,14634,2007
60436,829193,14414,2007
60461,997188,20548,2008
60463,985025,14145,2008
60471,479528,13022,2007
60479,822858,9783,2007
60482,787523,10190,2007
60490,1210351,16019,2008
60503,879843,13614,2007
60514,373051,88751,2008
60516,765476,11260,2008
60522,1050160,13964,2008
60524,470679,13692,2008
60526,472071,13910,2007
60530,869977,10818,2007
60538,492486,14456,2007
60551,901475,25647,2007
60566,1024942,14898,2007
60568,478394,12416,2007
60590,765141,60531,2007
60599,462295,13021,2007
60618,444672,18035,2007
60641,422783,14820,2007
60647,800241,6687,2008
60649,482603,11802,2008
60654,437526,2002,2007
60666,913958,78527,2007
60684,409459,13183,2009
60688,1043838,13255,2008
60702,865957,14154,2008
60728,1045889,80523,2007
60735,952682,12247,2007
60737,472205,22100,2007
60743,1086340,19244,2007
60753,1117385,13012,2008
60756,838283,12133,2008
60758,412536,12568,2008
60760,443701,8836,2008
60763,486259,13259,2008
60766,1155592,14048,2008
60768,1157620,12270,2008
60827,949489,30112,2007
60832,964539,12192,2008
60857,801526,16725,2007
60885,1039652,15865,2007
60894,819714,14061,2008
60937,859163,1735,2008
60939,1027862,10187,2008
60941,805570,10185,2008
60943,978759,10183,2008
60948,914797,13996,2008
60950,497465,5038,2008
61011,783608,13251,2007
61024,910936,10189,2008
61026,425637,12289,2008
61035,804552,15069,2007
61037,841925,2012,2007
61041,828158,18056,2007
61071,1018785,10188,2008
61073,411475,13300,2008
61075,974554,11671,2008
61110,414426,15662,2008
61123,810900,13649,2007
61132,942385,7446,2008
61136,962711,14878,2008
61160,1185834,12180,2008
61167,1029120,13107,2008
61206,809425,29568,2007
61210,490181,13256,2008
61236,1185616,8885,2008
61240,1139797,13310,2008
61246,1104733,12621,2008
61248,452608,10483,2008
61250,852713,12620,2008
61253,1091751,13579,2008
61255,1031969,10186,2008
61257,963807,15320,2008
61262,790686,13515,2008
61264,901485,5592,2007
61267,486321,13956,2008
61269,889671,60230,2007
61289,906665,13637,2008
61301,765430,18116,2007
61312,425308,15661,2007
61319,1172206,14298,2008
61323,887883,4944,2008
61348,1213644,13805,2008
61350,364970,9381,2008
61352,988047,13291,2008
61354,844671,13991,2008
61357,1149405,22319,2008
61361,430770,13972,2008
61398,804507,15206,2007
61401,831887,8285,2008
61406,472027,118309,2008
61449,1068641,12165,2008
61465,814022,13184,2008
61467,790657,12818,2007
61473,490234,13726,2007
61475,1020936,102305,2007
61493,992911,35854,2007
61553,492881,14075,2008
61567,1087458,22554,2008
61569,791178,18596,2007
61638,1282045,39368,2008
61695,815457,25795,2007
61697,1034331,13389,2008
61705,947802,13279,2008
61707,859760,38140,2007
61729,995039,12797,2008
61742,454976,8908,2008
61816,459102,4998,2007
61941,870122,14232,2008
61948,899128,14098,2008
61950,870204,14643,2007
61986,800308,12690,2008
61991,1046997,12412,2008
62010,920461,54669,2008
62081,1059786,13027,2008
62113,455538,13092,2008
62137,956038,14326,2008
62155,981227,12182,2008
62157,782867,14928,2007
62203,1029234,9539,2008
62235,972883,13200,2008
62237,1224448,38601,2008
62250,929425,8882,2008
62265,809504,13401,2009
62293,864761,12783,2008
62299,913951,12683,2008
62344,1084950,14976,2008
62374,758774,12113,2008
62376,970411,13600,2008
62378,841027,10078,2007
62390,481580,19566,2007
62394,467197,13051,2008
62420,911024,39816,2007
62434,1007028,10358,2008
62437,1175491,10523,2008
62439,1046163,13596,2008
62511,383028,4960,2008
62553,416212,12837,2008
62577,1054588,14914,2008
62586,1190617,13948,2008
62644,1063669,7735,2008
62660,808230,14791,2007
62718,963743,12689,2008
62726,1142798,15450,2008
62729,885415,25741,2008
62733,1082868,13812,2008
62788,1031254,13489,2008
62792,482572,13150,2008
62799,469903,14325,2008
62836,871427,15289,2007
62847,1152282,56295,2007
62849,1032755,13809,2008
62912,962726,11887,2008
62999,479952,10527,2008
63001,1101026,13506,2008
63033,861689,8338,2008
63062,824747,3580,2008
63072,898367,20766,2009
63082,1010048,12405,2008
63113,830515,10764,2008
63119,1042499,18548,2008
63131,430922,15373,2008
63179,976060,8938,2008
63181,1183732,16061,2008
63189,1124394,16166,2008
63194,456340,2588,2007
63222,1130988,13672,2008
63273,850669,13516,2007
63276,1016290,14943,2007
63278,933033,19147,2007
63312,772181,4627,2008
63329,772176,21501,2007
63332,1064953,16882,2008
63393,1055366,13655,2008
63436,1132626,11917,2008
63446,993789,8892,2008
63479,1135985,13523,2008
63481,1111948,14655,2008
63483,887971,15749,2008
63540,1014775,14405,2008
63617,363240,14089,2008
63698,1233381,8905,2008
63808,1068646,8841,2008
63826,1031280,13220,2008
63828,1016164,16509,2007
63853,455824,6972,2008
63859,397892,13053,2008
63876,1013753,10139,2008
63992,1099212,8966,2008
64010,1172571,16342,2008
64030,1129442,13387,2008
64032,369436,12193,2008
64034,914798,14574,2008
64037,409345,10900,2008
64114,1129423,14438,2008
64116,465502,14248,2008
64197,986233,10360,2008
64229,1042877,14299,2008
64231,450314,13056,2008
64249,897387,13394,2007
64285,1118511,14447,2008
64288,1032746,17157,2008
64385,1068634,93260,2007
64497,970416,10200,2008
64499,892255,8881,2008
64501,374569,8880,2008
64511,1135968,18117,2008
64524,1151915,25852,2008
64552,1285130,37584,2008
64575,918927,14359,2008
64614,1205489,13223,2008
64620,870111,11499,2008
64622,976051,8055,2008
64650,1182937,14072,2008
64652,361500,20542,2008
64658,990361,12449,2007
64695,1121794,13980,2007
64701,1068649,8276,2008
64716,814314,11321,2008
64839,1125849,12163,2008
64845,955298,14772,2008
64957,421715,4922,2008
64969,1068680,10201,2008
64979,1241326,297983,2007
64983,985699,2253,2008
64986,1029134,14422,2008
64990,1003116,40873,2007
64993,983213,38142,2007
65001,902270,15033,2007
65033,1028539,105371,2007
65037,953318,6936,2007
65051,783601,13406,2007
65063,1110272,14357,2008
65088,960731,10202,2008
65126,1024715,13973,2008
65130,959337,4148,2008
65142,926762,17845,2008
65155,976247,13827,2008
65181,483756,15676,2007
65188,1152758,15584,2008
65193,1024255,13971,2008
65216,1034303,13813,2008
65225,1332128,13180,2008
65230,822832,14306,2008
65235,864770,8049,2007
65243,1180333,141971,2008
65259,1232826,8927,2008
65261,876563,12429,2008
65300,816539,16205,2007
65304,847487,15331,2007
65418,1152850,8942,2008
65435,1107365,13690,2008
65465,1046947,16409,2008
65514,1220719,14756,2008
65558,1157604,368955,2008
65567,449487,13944,2008
65577,420238,10199,2008
65585,901476,10521,2009
65588,447166,26235,2008
65596,1259014,13635,2008
65601,1179891,14435,2009
65621,850307,170094,2007
65631,850253,13177,2007
65633,1294164,34696,2008
65642,480669,14139,2007
65651,1135493,16999,2008
65660,487419,8280,2007
65667,350002,36746,2007
65682,834001,12437,2009
65685,494238,2309,2008
65729,1038915,14076,2007
65731,818165,13942,2008
65770,772200,27440,2007
65772,464041,13825,2008
65802,1114740,14560,2009
65810,472198,14410,2009
65813,1139668,13788,2009
65817,988849,13429,2008
65845,822868,14871,2008
65868,963194,14353,2008
65882,815245,14254,2009
65894,792986,16137,2007
65935,969307,56816,2008
65974,1139618,168261,2007
65982,462465,10529,2008
66015,1092082,14582,2008
