,Release Group,Rollout,Markets,Domestic,International,Worldwide,imdb_id,Area,Release Date,Opening,Gross,Filmmakers,Role,# Releases,Lifetime Gross,Rank
0,Original Release,"November 22-March 27, 1996","Domestic, EMEA","$191,796,233","$52,855,355","$244,651,588",tt0114709,,,,,,,,,
0,Original Release,"December 15, 1995",Domestic,"$100,475,249",–,"$100,475,249",tt0113497,,,,,,,,,
0,,,,,,,tt0113228,Domestic,"Dec 22, 1995","$7,797,185","$71,518,503",,,,,
0,,,,,,,tt0114885,Domestic,"Dec 22, 1995","$14,126,927","$67,052,156",,,,,
0,,,,,,,tt0113041,Domestic,"Dec 8, 1995","$11,134,978","$76,594,107",,,,,
0,Original Release,"December 15, 1995","APAC, Domestic","$67,436,818",$64,"$67,436,882",tt0113277,,,,,,,,,
0,,,,,,,tt0114319,Domestic,"Dec 15, 1995","$5,563,259","$53,672,080",,,,,
0,,,,,,,tt0112302,Domestic,"Dec 22, 1995","$3,210,458","$23,920,048",,,,,
0,,,,,,,tt0114576,Domestic,"Dec 22, 1995","$4,782,445","$20,350,171",,,,,
0,Original Release,"November 17, 1995",Domestic,"$106,429,941",–,"$106,429,941",tt0113189,,,,,,,,,
0,,,,,,,tt0112346,Domestic,"Nov 17, 1995","$10,014,558","$60,079,496",,,,,
0,,,,,,,tt0112896,Domestic,"Dec 22, 1995","$2,708,298","$10,772,144",,,,,
0,Original Release,"December 22, 1995",Domestic,"$11,348,324",–,"$11,348,324",tt0112453,,,,,,,,,
0,,,,,,,tt0113987,Domestic,"Dec 22, 1995","$2,206,506","$13,681,765",,,,,
0,,,,,,,tt0112760,Domestic,"Dec 22, 1995","$2,371,415","$10,017,322",,,,,
0,Original Release,"November 22-March 22, 1996","EMEA, Domestic","$42,512,375","$26,460,176","$68,972,551",tt0112641,,,,,,,,,
0,Original Release,"December 15, 1995","Domestic, APAC","$43,182,776",–,"$43,182,776",tt0114388,,,,,,,,,
0,,,,,,,tt0113101,Domestic,"Dec 22, 1995","$427,733","$4,257,354",,,,,
0,,,,,,,tt0112281,Domestic,"Nov 10, 1995","$37,804,076","$108,385,533",,,,,
0,,,,,,,tt0113845,Domestic,"Nov 22, 1995","$10,608,297","$35,431,113",,,,,
0,,,,,,,tt0113161,Domestic,"Oct 20, 1995","$12,700,007","$72,101,622",,,,,
0,,,,,,,tt0112722,Domestic,"Oct 27, 1995","$5,170,522","$32,051,917",,,,,
0,,,,,,,tt0112401,Domestic,"Oct 6, 1995","$9,378,637","$30,303,072",,,,,
0,,,,,,,tt0114168,Domestic,"Oct 27, 1995","$7,146,973","$30,862,156",,,,,
0,,,,,,,tt0113627,Domestic,"Oct 27, 1995","$70,864","$32,029,928",,,,,
0,,,,,,,tt0114057,Domestic,"Dec 15, 1995","$29,097","$2,844,379",,,,,
0,,,,,,,tt0114011,Domestic,"Oct 20, 1995","$7,440,173","$27,112,329",,,,,
0,,,,,,,tt0114117,Domestic,"Sep 29, 1995","$30,986","$5,269,757",,,,,
0,Original Release,"December 15, 1995","Domestic, EMEA","$1,738,611","$42,854","$1,781,465",tt0112682,,,,,,,,,
0,,,,,,,tt0115012,Domestic,"Dec 20, 1995","$209,098","$2,086,101",,,,,
0,,,,,,,tt0112792,Domestic,"Aug 11, 1995","$14,931,503","$84,919,401",,,,,
0,,,,,,,tt0114746,Domestic,"Dec 29, 1995","$184,776","$57,141,459",,,,,
0,Original Release,"August 4, 1995",Domestic,"$63,658,910",–,"$63,658,910",tt0112431,,,,,,,,,
0,,,,,,,tt0112818,Domestic,"Dec 29, 1995","$118,266","$39,363,635",,,,,
0,,,,,,,tt0113442,Domestic,"Nov 17, 1995","$5,564,147","$19,474,589",,,,,
0,Original Release,"July 21, 1995",Domestic,"$56,631,572",–,"$56,631,572",tt0112697,,,,,,,,,
0,,,,,,,tt0112749,Domestic,"Dec 15, 1995",–,"$670,727",,,,,
0,Original Release,"December 29, 1995",Domestic,"$2,684,904",–,"$2,684,904",tt0114279,,,,,,,,,
0,,,,,,,tt0112819,Domestic,"Oct 6, 1995","$7,943,778","$24,147,179",,,,,
0,,,,,,,tt0114272,Domestic,"Dec 29, 1995","$75,514","$4,005,941",,,,,
0,,,,,,,tt0113855,Domestic,"Aug 18, 1995","$23,283,887","$70,454,098",,,,,
0,Original Release,"September 29, 1995",Domestic,"$21,284,514",–,"$21,284,514",tt0114681,,,,,,,,,
0,,,,,,,tt0113347,Domestic,"Oct 6, 1995","$5,790,445","$23,600,020",,,,,
0,Original Release,"September 22, 1995",Domestic,"$100,125,643",–,"$100,125,643",tt0114369,,,,,,,,,
0,Original Release,"June 16, 1995",Domestic,"$141,579,773",–,"$141,579,773",tt0114148,,,,,,,,,
0,,,,,,,tt0114916,Domestic,"Nov 17, 1997",–,"$919,671",,,,,
0,,,,,,,tt0114814,Domestic,"Aug 18, 1995","$645,363","$23,341,568",,,,,
0,,,,,,,tt0113819,Domestic,"Oct 27, 1995","$326,494","$6,468,498",,,,,
0,,,,,,,tt0110299,,,,,Gianni Amelio,Director,,,
0,,,,,,,tt0112499,Domestic,"Sep 29, 1995","$4,688,285","$17,736,619",,,,,
0,,,,,,,tt0113158,Domestic,"Dec 8, 1995","$55,461","$1,110,104",,,,,
0,,,,,,,tt0113321,Domestic,"Nov 3, 1995","$4,007,717","$17,519,169",,,,,
0,Original Release,"June 16, 1995",Domestic,"$21,848,932",–,"$21,848,932",tt0110877,,,,,,,,,
0,,,,,,,tt0113419,Domestic,"Jul 14, 1995","$7,716,278","$35,656,131",,,,,
0,,,,,,,tt0116260,Domestic,"Jan 12, 1996","$6,968,044","$26,877,589",,,,,
0,,,,,,,tt0113862,Domestic,"Dec 29, 1995","$14,466","$82,569,971",,,,,
0,Original Release,"January 12, 1996",Domestic,"$20,109,115",–,"$20,109,115",tt0116126,,,,,,,,,
0,,,,,,,tt0118002,Domestic,"Jan 12, 1996","$4,656,986","$10,658,278",,,,,
