Title,Rated,Director,Language,Country,imdbID,BoxOffice,IMDB_Value,RT_Value,MC_Value,Actor_1,Actor_2,Actor_3,Actor_4
Freedom Writers,PG-13,Richard LaGravenese,English,Germany,tt0463998,36605602.0,76.0,70.0,64.0,Hilary Swank, Imelda Staunton, Patrick Dempsey,
Happily N'Ever After,PG,"Paul Bolger, Yvette Kaplan, Greg Tiernan",English,United States,tt0308353,15589393.0,45.0,5.0,28.0,Sigourney Weaver, Sarah Michelle Gellar, Patrick Warburton,
Home of the Brave,R,Irwin Winkler,English,United States,tt0763840,51708.0,56.0,22.0,42.0,Samuel L. Jackson, 50 Cent, Jessica Biel,
Code Name: The Cleaner,PG-13,Les Mayfield,English,United States,tt0462229,8135024.0,46.0,4.0,33.0,Cedric the Entertainer, Lucy Liu, Nicollette Sheridan,
Stomp the Yard,PG-13,Sylvain White,English,United States,tt0775539,61356221.0,54.0,25.0,44.0,Columbus Short, Meagan Good, Ne-Yo,
Arthur and the Invisibles,PG,Luc Besson,French,France,tt0344854,15132763.0,60.0,22.0,39.0,Freddie Highmore, Mia Farrow, Madonna,
Primeval,R,Michael Katleman,English,United States,tt0772193,10597734.0,48.0,19.0,35.0,Dominic Purcell, Orlando Jones, Brooke Langton,
Alpha Dog,R,Nick Cassavetes,English,Germany,tt0426883,15309602.0,69.0,54.0,53.0,Emile Hirsch, Justin Timberlake, Anton Yelchin,
The Hitcher,R,Dave Meyers,English,United States,tt0455960,16472961.0,56.0,19.0,28.0,Sean Bean, Sophia Bush, Zachary Knighton,
Bridge to Terabithia,PG,Gabor Csupo,English,United States,tt0398808,82272442.0,72.0,85.0,74.0,Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel,
Waitress,PG-13,Adrienne Shelly,English,United States,tt0473308,19074800.0,70.0,89.0,75.0,Keri Russell, Nathan Fillion, Jeremy Sisto,
Blood and Chocolate,PG-13,Katja von Garnier,English,United States,tt0397044,3526847.0,53.0,11.0,33.0,Agnes Bruckner, Hugh Dancy, Olivier Martinez,
Epic Movie,PG-13,"Jason Friedberg, Aaron Seltzer",English,United States,tt0799949,39739367.0,24.0,2.0,17.0,Kal Penn, Jennifer Coolidge, Fred Willard,
The Messengers,PG-13,"Danny Pang, Oxide Chun Pang",English,United States,tt0425430,35374833.0,53.0,11.0,34.0,Dylan McDermott, Penelope Ann Miller, Kristen Stewart,
Because I Said So,PG-13,Michael Lehmann,English,United States,tt0490084,42674040.0,55.0,4.0,26.0,Diane Keaton, Mandy Moore, Gabriel Macht,
Hannibal Rising,R,Peter Webber,English,Czech Republic,tt0367959,27670986.0,61.0,16.0,35.0,Gaspard Ulliel, Rhys Ifans, Gong Li,
Norbit,PG-13,Brian Robbins,English,United States,tt0477051,95673607.0,41.0,9.0,27.0,Eddie Murphy, Thandiwe Newton, Terry Crews,
Ratatouille,G,"Brad Bird, Jan Pinkava",English,United States,tt0382932,206445654.0,81.0,96.0,96.0,Brad Garrett, Lou Romano, Patton Oswalt,
The Astronaut Farmer,PG,Michael Polish,English,United States,tt0469263,11003643.0,63.0,58.0,55.0,Billy Bob Thornton, Virginia Madsen, Bruce Dern,
Ghost Rider,PG-13,Mark Steven Johnson,English,United States,tt0259324,115802596.0,52.0,27.0,35.0,Nicolas Cage, Eva Mendes, Sam Elliott,
Breach,PG-13,Billy Ray,English,United States,tt0401997,33231264.0,70.0,84.0,74.0,Chris Cooper, Ryan Phillippe, Dennis Haysbert,
Daddy's Little Girls,PG-13,Tyler Perry,English,United States,tt0778661,31366978.0,58.0,26.0,49.0,Gabrielle Union, Idris Elba, Tracee Ellis Ross,
Music and Lyrics,PG-13,Marc Lawrence,English,United States,tt0758766,50572589.0,65.0,63.0,59.0,Hugh Grant, Drew Barrymore, Scott Porter,
The Number 23,R,Joel Schumacher,English,United States,tt0481369,35193167.0,64.0,7.0,,Jim Carrey, Virginia Madsen, Logan Lerman,
Reno 911!: Miami,R,Robert Ben Garant,English,United States,tt0499554,20342161.0,59.0,34.0,47.0,Thomas Lennon, Robert Ben Garant, Kerri Kenney,
Hot Fuzz,R,Edgar Wright,English,United Kingdom,tt0425112,23637265.0,78.0,91.0,81.0,Simon Pegg, Nick Frost, Martin Freeman,
Next,PG-13,Lee Tamahori,English,United States,tt0435705,18211013.0,62.0,28.0,42.0,Nicolas Cage, Julianne Moore, Jessica Biel,
Zodiac,R,David Fincher,English,United States,tt0443706,33080084.0,77.0,90.0,78.0,Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,
Wild Hogs,PG-13,Walt Becker,English,United States,tt0486946,168273550.0,58.0,14.0,27.0,Tim Allen, Martin Lawrence, John Travolta,
300,R,Zack Snyder,English,United States,tt0416449,210629101.0,76.0,61.0,52.0,Gerard Butler, Lena Headey, David Wenham,
The Last Mimzy,PG,Robert Shaye,English,United States,tt0768212,21471047.0,62.0,55.0,59.0,Joely Richardson, Rainn Wilson, Timothy Hutton,
Becoming Jane,PG,Julian Jarrold,English,United Kingdom,tt0416508,18670946.0,70.0,58.0,55.0,Anne Hathaway, James McAvoy, Julie Walters,
I Think I Love My Wife,R,Chris Rock,English,United States,tt0770772,12550605.0,55.0,,49.0,Chris Rock, Kerry Washington, Gina Torres,
Premonition,PG-13,Mennan Yapo,English,United States,tt0477071,47852604.0,59.0,8.0,29.0,Sandra Bullock, Julian McMahon, Amber Valletta,
Dead Silence,R,James Wan,English,United States,tt0455760,16809076.0,61.0,20.0,34.0,Ryan Kwanten, Amber Valletta, Donnie Wahlberg,
Reign Over Me,R,Mike Binder,English,United States,tt0490204,19661987.0,74.0,64.0,61.0,Adam Sandler, Don Cheadle, Jada Pinkett Smith,
Pride,PG,Sunu Gonera,English,Germany,tt0475355,7057600.0,62.0,47.0,55.0,Terrence Howard, Bernie Mac, Kimberly Elise,
Shooter,R,Antoine Fuqua,English,United States,tt0822854,47003582.0,71.0,48.0,53.0,Mark Wahlberg, Michael Peña, Rhona Mitra,
The Hills Have Eyes 2,R,Martin Weisz,English,United States,tt0800069,20804166.0,51.0,12.0,32.0,Daniella Alonso, Jacob Vargas, Michael Bailey Smith,
TMNT,PG,Kevin Munroe,English,Hong Kong,tt0453556,54149098.0,62.0,35.0,41.0,Patrick Stewart, Mako, Chris Evans,
Eklavya: The Royal Guard,Not Rated,Vidhu Vinod Chopra,Hindi,India,tt0459605,1290212.0,61.0,75.0,69.0,Amitabh Bachchan, Saif Ali Khan, Sanjay Dutt,
The Lookout,R,Scott Frank,English,United States,tt0427470,4600585.0,70.0,87.0,73.0,Joseph Gordon-Levitt, Jeff Daniels, Matthew Goode,
Blades of Glory,PG-13,"Josh Gordon, Will Speck",English,United States,tt0445934,118594548.0,63.0,70.0,64.0,Will Ferrell, Jon Heder, Amy Poehler,
Are We Done Yet?,PG,Steve Carr,English,Canada,tt0422774,49662533.0,42.0,8.0,36.0,Ice Cube, Nia Long, John C. McGinley,
The Reaping,R,Stephen Hopkins,English,United States,tt0444682,25126214.0,56.0,8.0,36.0,Hilary Swank, David Morrissey, AnnaSophia Robb,
Firehouse Dog,PG,Todd Holland,English,United States,tt0476995,13932383.0,55.0,38.0,43.0,Josh Hutcherson, Bruce Greenwood, Bree Turner,
Meet the Robinsons,G,Stephen J. Anderson,English,United States,tt0396555,97822171.0,68.0,67.0,61.0,Daniel Hansen, Wesley Singerman, Angela Bassett,
Sunshine,R,Danny Boyle,English,United Kingdom,tt0448134,3675753.0,72.0,76.0,64.0,Cillian Murphy, Rose Byrne, Chris Evans,
The Hoax,R,Lasse Hallström,English,United States,tt0462338,7164995.0,67.0,,70.0,Richard Gere, Alfred Molina, David Aaron Baker,
Perfect Stranger,R,James Foley,English,United States,tt0457433,23984949.0,57.0,10.0,31.0,Halle Berry, Bruce Willis, Giovanni Ribisi,
Disturbia,PG-13,D.J. Caruso,English,United States,tt0486822,80209692.0,68.0,69.0,62.0,Shia LaBeouf, David Morse, Carrie-Anne Moss,
Pathfinder,R,Marcus Nispel,English,United States,tt0446013,10232081.0,54.0,9.0,29.0,Karl Urban, Clancy Brown, Moon Bloodgood,
Aqua Teen Hunger Force Colon Movie Film for Theaters,R,"Matt Maiellaro, Dave Willis",English,United States,tt0455326,5520368.0,67.0,48.0,54.0,Dana Snyder, Dave Willis, Carey Means,
Redline,PG-13,Andy Cheng,English,United States,tt0780595,6881022.0,40.0,0.0,24.0,Nathan Phillips, Nadia Bjorlin, Eddie Griffin,
La Vie En Rose,PG-13,Olivier Dahan,French,France,tt0450188,10301706.0,76.0,50.0,66.0,Marion Cotillard, Sylvie Testud, Pascal Greggory,
Fracture,R,Gregory Hoblit,English,Germany,tt0488120,39015018.0,72.0,72.0,68.0,Anthony Hopkins, Ryan Gosling, David Strathairn,
Vacancy,R,Nimród Antal,English,United States,tt0452702,19363565.0,62.0,55.0,54.0,Kate Beckinsale, Luke Wilson, Frank Whaley,
In the Land of Women,PG-13,Jonathan Kasdan,English,United States,tt0419843,11052958.0,64.0,44.0,47.0,Adam Brody, Kristen Stewart, Meg Ryan,
Mr. Bean's Holiday,G,Steve Bendelack,English,United Kingdom,tt0453451,33302167.0,64.0,51.0,56.0,Rowan Atkinson, Willem Dafoe, Steve Pemberton,
The Invisible,PG-13,David S. Goyer,English,Sweden,tt0435670,20578909.0,61.0,20.0,36.0,Justin Chatwin, Margarita Levieva, Marcia Gay Harden,
Kickin' It Old Skool,PG-13,Harvey Glazer,English,United States,tt0772178,4502604.0,46.0,,18.0,Jamie Kennedy, Maria Menounos, Miguel A. Núñez Jr.,
The Condemned,R,Scott Wiper,English,United States,tt0443473,7371706.0,60.0,15.0,23.0,Steve Austin, Vinnie Jones, Nathan Jones,
Spider-Man 3,PG-13,Sam Raimi,English,United States,tt0413300,336530303.0,63.0,63.0,59.0,Tobey Maguire, Kirsten Dunst, Topher Grace,
Lucky You,PG-13,Curtis Hanson,English,United States,tt0338216,5758950.0,59.0,28.0,49.0,Eric Bana, Drew Barrymore, Robert Duvall,
Year of the Dog,PG-13,Mike White,English,United States,tt0756729,1540141.0,60.0,69.0,70.0,Molly Shannon, John C. Reilly, Peter Sarsgaard,
The Ex,PG-13,Jesse Peretz,English,United States,tt0458364,3093394.0,54.0,19.0,32.0,Zach Braff, Amanda Peet, Charles Grodin,
Knocked Up,R,Judd Apatow,English,United States,tt0478311,148768917.0,69.0,89.0,85.0,Seth Rogen, Katherine Heigl, Paul Rudd,
Hairspray,PG,Adam Shankman,English,United States,tt0427327,118946291.0,67.0,92.0,81.0,John Travolta, Queen Latifah, Nikki Blonsky,
28 Weeks Later,R,Juan Carlos Fresnadillo,English,United Kingdom,tt0463854,28638916.0,69.0,72.0,78.0,Jeremy Renner, Rose Byrne, Robert Carlyle,
Georgia Rule,R,Garry Marshall,English,United States,tt0791304,19103072.0,59.0,19.0,25.0,Jane Fonda, Lindsay Lohan, Felicity Huffman,
Delta Farce,PG-13,C.B. Harding,English,United States,tt0800003,8130530.0,36.0,5.0,17.0,Larry the Cable Guy, Bill Engvall, DJ Qualls,
Shrek the Third,PG,"Chris Miller, Raman Hui",English,United States,tt0413267,322719944.0,61.0,41.0,58.0,Mike Myers, Cameron Diaz, Eddie Murphy,
Pirates of the Caribbean: At World's End,PG-13,Gore Verbinski,English,United States,tt0449088,309420425.0,71.0,44.0,50.0,Johnny Depp, Orlando Bloom, Keira Knightley,
Bug,R,William Friedkin,English,United States,tt0470705,7025810.0,61.0,61.0,62.0,Ashley Judd, Michael Shannon, Harry Connick Jr.,
Mr. Brooks,R,Bruce A. Evans,English,United States,tt0780571,28549298.0,73.0,55.0,45.0,Kevin Costner, Demi Moore, William Hurt,
Rise: Blood Hunter,R,Sebastian Gutierrez,English,United States,tt0389328,114306.0,49.0,33.0,,Lucy Liu, Michael Chiklis, Carla Gugino,
Gracie,PG-13,Davis Guggenheim,English,,tt0441007,,61.0,61.0,52.0,Carly Schroeder, Andrew Shue, Elisabeth Shue,
Zoo,Unrated,Robinson Devor,English,United States,tt0874423,69770.0,56.0,60.0,63.0,Coyote, Jenny Edwards, John Edwards,
Eagle vs Shark,R,Taika Waititi,English,New Zealand,tt0494222,221846.0,67.0,56.0,55.0,Loren Taylor, Jemaine Clement, Craig Hall,
88 Minutes,R,Jon Avnet,English,United States,tt0411061,17213467.0,59.0,5.0,17.0,Al Pacino, Alicia Witt, Ben McKenzie,
Ocean's Thirteen,PG-13,Steven Soderbergh,English,United States,tt0496806,117154724.0,69.0,70.0,62.0,George Clooney, Brad Pitt, Matt Damon,
Hostel: Part II,R,Eli Roth,English,United States,tt0498353,17609452.0,55.0,44.0,46.0,Lauren German, Heather Matarazzo, Bijou Phillips,
Paranoid Park,R,Gus Van Sant,English,France,tt0842929,486767.0,66.0,77.0,83.0,Gabe Nevins, Daniel Liu, Taylor Momsen,
Surf's Up,PG,"Ash Brannon, Chris Buck",English,United States,tt0423294,58867694.0,67.0,79.0,64.0,Shia LaBeouf, Zooey Deschanel, Jon Heder,
Fantastic Four: Rise of the Silver Surfer,PG,Tim Story,English,United Kingdom,tt0486576,131921738.0,56.0,37.0,45.0,Ioan Gruffudd, Jessica Alba, Chris Evans,
Nancy Drew,PG,Andrew Fleming,English,United States,tt0479500,25661055.0,59.0,49.0,53.0,Emma Roberts, Tate Donovan, Max Thieriot,
Death Proof,TV-MA,Quentin Tarantino,English,United States,tt1028528,,70.0,65.0,,Kurt Russell, Zoë Bell, Rosario Dawson,
In Search of a Midnight Kiss,Not Rated,Alex Holdridge,English,United States,tt0989000,172605.0,72.0,85.0,64.0,Scoot McNairy, Sara Simmonds, Brian McGuire,
Goal II: Living the Dream,PG-13,Jaume Collet-Serra,English,United Kingdom,tt0473360,225067.0,58.0,39.0,,Kuno Becker, Alessandro Nivola, Anna Friel,
Sicko,PG-13,Michael Moore,English,United States,tt0386032,24540079.0,80.0,91.0,74.0,Michael Moore, Tucker Albrizzi, Tony Benn,
A Mighty Heart,R,Michael Winterbottom,English,United States,tt0829459,9176787.0,66.0,79.0,74.0,Angelina Jolie, Dan Futterman, Irrfan Khan,
1408,PG-13,Mikael Håfström,English,United States,tt0450385,71985628.0,68.0,79.0,64.0,John Cusack, Samuel L. Jackson, Mary McCormack,
Death at a Funeral,R,Frank Oz,English,United States,tt0795368,8580428.0,73.0,,67.0,Matthew Macfadyen, Peter Dinklage, Ewen Bremner,
Introducing the Dwights,R,Cherie Nowlan,English,Australia,tt0432264,379408.0,64.0,52.0,50.0,Brenda Blethyn, Khan Chittenden, Emma Booth,
Live Free or Die Hard,PG-13,Len Wiseman,English,United States,tt0337978,134529403.0,71.0,82.0,69.0,Bruce Willis, Justin Long, Timothy Olyphant,
License to Wed,PG-13,Ken Kwapis,English,United States,tt0762114,43799818.0,52.0,7.0,25.0,Mandy Moore, John Krasinski, Robin Williams,
Evening,PG-13,Lajos Koltai,English,United States,tt0765447,12492481.0,64.0,27.0,45.0,Vanessa Redgrave, Toni Collette, Claire Danes,
Evan Almighty,PG,Tom Shadyac,English,United States,tt0413099,100462298.0,54.0,24.0,37.0,Steve Carell, Morgan Freeman, Lauren Graham,
Transformers,PG-13,Michael Bay,English,United States,tt0418279,319246193.0,70.0,58.0,61.0,Shia LaBeouf, Megan Fox, Josh Duhamel,
Captivity,R,Roland Joffé,English,United States,tt0374563,2626800.0,46.0,9.0,24.0,Elisha Cuthbert, Daniel Gillies, Pruitt Taylor Vince,
Harry Potter and the Order of the Phoenix,PG-13,David Yates,English,United Kingdom,tt0373889,292382727.0,75.0,78.0,71.0,Daniel Radcliffe, Emma Watson, Rupert Grint,
I Now Pronounce You Chuck & Larry,PG-13,Dennis Dugan,English,United States,tt0762107,120059556.0,59.0,14.0,37.0,Adam Sandler, Kevin James, Jessica Biel,
Arn: The Knight Templar,R,Peter Flinth,Swedish,Sweden,tt0837106,,66.0,,,Joakim Nätterqvist, Sofia Helin, Stellan Skarsgård,
Across the Universe,PG-13,Julie Taymor,English,United States,tt0445922,24602291.0,73.0,53.0,56.0,Evan Rachel Wood, Jim Sturgess, Joe Anderson,
Broken English,PG-13,Zoe R. Cassavetes,English,France,tt0772157,956919.0,63.0,64.0,61.0,Parker Posey, Melvil Poupaud, Gena Rowlands,
A Dog's Breakfast,PG-13,David Hewlett,English,Canada,tt0796314,,67.0,,,David Hewlett, Mars the Dog, Kate Hewlett,
