original_title,imdb_id,release_date,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,Year,Month
Freedom Writers,tt0463998,2007-01-05,43095175,123,79.24000000000001,en,Crime,Drama,,,,,,,,2007,01
Happily N'Ever After,tt0308353,2007-01-05,38085778,87,49.230000000000004,en,Adventure,Animation,Comedy,Family,Fantasy,,,,,2007,01
Home of the Brave,tt0763840,2006-12-15,499620,106,54.53,en,Drama,War,,,,,,,,2006,12
Code Name: The Cleaner,tt0462229,2007-01-05,10337477,84,51.0,en,Action,Comedy,Crime,,,,,,,2007,01
Stomp the Yard,tt0775539,2007-05-16,75511123,114,69.05,en,Drama,Music,,,,,,,,2007,05
Arthur et les Minimoys,tt0344854,2006-12-13,107944236,94,63.81999999999999,en,Adventure,Fantasy,Animation,Family,,,,,,2006,12
Primeval,tt0772193,2007-01-12,10597734,93,61.0,en,Adventure,Horror,,,,,,,,2007,01
Alpha Dog,tt0426883,2006-01-27,15309302,122,66.31,en,Crime,Drama,Thriller,,,,,,,2006,01
The Hitcher,tt0455960,2007-01-19,25399945,84,58.849999999999994,en,Action,Horror,Crime,Thriller,,,,,,2007,01
Bridge to Terabithia,tt0398808,2007-02-15,137587063,96,72.75,en,Adventure,Drama,Family,,,,,,,2007,02
Waitress,tt0473308,2007-05-25,22240529,108,67.38000000000001,en,Drama,Comedy,Romance,,,,,,,2007,05
Blood and Chocolate,tt0397044,2007-01-26,6340723,98,54.88,en,Drama,Fantasy,Horror,Romance,,,,,,2007,01
Epic Movie,tt0799949,2007-01-25,86865564,85,39.22,en,Comedy,Action,Adventure,,,,,,,2007,01
The Messengers,tt0425430,2007-02-02,55060212,90,56.989999999999995,en,Mystery,Thriller,Horror,,,,,,,2007,02
Because I Said So,tt0490084,2007-02-02,69485490,102,59.33,en,Romance,Comedy,,,,,,,,2007,02
Hannibal Rising,tt0367959,2007-02-06,82169884,121,62.33,en,Crime,Drama,Thriller,Horror,,,,,,2007,02
Norbit,tt0477051,2007-02-08,159313561,102,55.81,en,Comedy,,,,,,,,,2007,02
Ratatouille,tt0382932,2007-06-28,623726000,111,77.92,en,Animation,Comedy,Family,Fantasy,,,,,,2007,06
The Astronaut Farmer,tt0469263,2006-10-15,11130889,104,62.01,en,Science Fiction,Adventure,Comedy,Drama,,,,,,2006,10
Ghost Rider,tt0259324,2007-01-15,228738393,114,55.27,en,Thriller,Action,Fantasy,,,,,,,2007,01
Breach,tt0401997,2007-02-12,40953935,110,66.03,en,Drama,Thriller,Crime,History,,,,,,2007,02
Daddy's Little Girls,tt0778661,2007-02-14,31609243,100,69.80000000000001,en,Comedy,Drama,Romance,,,,,,,2007,02
Music and Lyrics,tt0758766,2007-02-09,145896422,105,63.99,en,Comedy,Music,Romance,,,,,,,2007,02
The Number 23,tt0481369,2007-02-23,77566815,101,64.2,en,Thriller,Drama,Mystery,,,,,,,2007,02
Reno 911!: Miami,tt0499554,2007-02-23,20342161,84,57.830000000000005,en,Action,Comedy,Crime,,,,,,,2007,02
Hot Fuzz,tt0425112,2007-02-14,80573774,121,75.0,en,Crime,Action,Comedy,,,,,,,2007,02
Next,tt0435705,2007-04-25,76066841,96,60.25,en,Action,Science Fiction,Thriller,,,,,,,2007,04
Zodiac,tt0443706,2007-03-02,84785914,157,75.0,en,Crime,Drama,Mystery,Thriller,,,,,,2007,03
Wild Hogs,tt0486946,2007-03-02,253625427,100,59.42999999999999,en,Action,Adventure,Comedy,,,,,,,2007,03
300,tt0416449,2007-03-07,422610419,117,71.68,en,Action,Adventure,War,,,,,,,2007,03
The Last Mimzy,tt0768212,2007-02-09,27308918,94,62.86,en,Drama,Science Fiction,Adventure,,,,,,,2007,02
Becoming Jane,tt0416508,2007-03-02,37311672,120,73.15,en,Romance,Drama,,,,,,,,2007,03
I Think I Love My Wife,tt0770772,2007-03-07,13196245,90,53.57,en,Comedy,Romance,,,,,,,,2007,03
Premonition,tt0477071,2007-02-08,84297309,96,62.58,en,Thriller,Drama,Mystery,,,,,,,2007,02
Dead Silence,tt0455760,2007-03-16,22217407,89,64.23,en,Horror,,,,,,,,,2007,03
Reign Over Me,tt0490204,2007-03-22,22222308,124,71.66,en,Drama,,,,,,,,,2007,03
Pride,tt0475355,2007-03-23,0,104,67.33,en,Drama,,,,,,,,,2007,03
Shooter,tt0822854,2007-03-22,95696996,124,70.72,en,Action,Drama,Mystery,Thriller,Crime,,,,,2007,03
The Hills Have Eyes 2,tt0800069,2007-03-22,37697773,89,54.85,en,Horror,Thriller,,,,,,,,2007,03
TMNT,tt0453556,2007-03-23,95608995,87,61.050000000000004,en,Adventure,Animation,Comedy,Family,,,,,,2007,03
एकलव्य,tt0459605,2007-01-01,0,105,67.0,hi,Action,Drama,Thriller,,,,,,,2007,01
The Lookout,tt0427470,2007-03-09,5367030,99,66.44,en,Crime,Drama,Thriller,,,,,,,2007,03
Blades of Glory,tt0445934,2007-03-30,118200000,93,61.0,en,Comedy,,,,,,,,,2007,03
Are We Done Yet?,tt0422774,2007-04-04,58400000,92,57.5,en,Family,Comedy,,,,,,,,2007,04
The Reaping,tt0444682,2007-04-05,62771059,99,56.870000000000005,en,Horror,,,,,,,,,2007,04
Firehouse Dog,tt0476995,2007-04-04,0,111,58.620000000000005,en,Family,Comedy,,,,,,,,2007,04
Meet the Robinsons,tt0396555,2007-03-23,169332978,95,68.78,en,Animation,Comedy,Family,,,,,,,2007,03
Sunshine,tt0448134,2007-04-05,34806812,107,69.58,en,Science Fiction,Thriller,,,,,,,,2007,04
The Hoax,tt0462338,2006-10-14,11772461,116,62.53999999999999,en,Comedy,Drama,,,,,,,,2006,10
Perfect Stranger,tt0457433,2007-04-11,73090611,109,57.699999999999996,en,Thriller,,,,,,,,,2007,04
Disturbia,tt0486822,2007-04-12,117760134,105,66.78,en,Thriller,Drama,Mystery,,,,,,,2007,04
Pathfinder,tt0446013,2007-01-11,30822861,99,56.52,en,Adventure,Action,,,,,,,,2007,01
