imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3
tt0114709,Toy Story,1995,10,223225679.0,83.0,100.0,95.0,79.65,G,John Lasseter,English,United States,81,Tom Hanks, Tim Allen, Don Rickles,Animation,Adventure,Family
tt0113497,Jumanji,1995,12,100499940.0,70.0,52.0,39.0,72.0,PG,Joe Johnston,English,United States,104,Robin Williams, Kirsten Dunst, Bonnie Hunt,Adventure,Fantasy,Family
tt0113228,Grumpier Old Men,1995,12,71518503.0,66.0,17.0,46.0,64.41,PG-13,Howard Deutch,English,United States,101,Walter Matthau, Jack Lemmon, Ann-Margret,Romance,Comedy,
tt0114885,Waiting to Exhale,1995,12,67052156.0,59.0,61.0,63.0,63.0,R,Forest Whitaker,English,United States,127,Whitney Houston, Angela Bassett, Loretta Devine,Comedy,Drama,Romance
tt0113041,Father of the Bride Part II,1995,12,76594107.0,60.0,52.0,49.0,62.28,PG,Charles Shyer,English,United States,106,Steve Martin, Diane Keaton, Martin Short,Comedy,Family,
tt0113277,Heat,1995,12,67436818.0,83.0,88.0,76.0,78.92999999999999,R,Michael Mann,English,United States,170,Al Pacino, Robert De Niro, Val Kilmer,Action,Crime,Drama
tt0114319,Sabrina,1995,12,53672080.0,63.0,63.0,56.0,61.65,PG,Sydney Pollack,English,Germany,127,Harrison Ford, Julia Ormond, Greg Kinnear,Comedy,Romance,
tt0112302,Tom and Huck,1995,12,23920048.0,55.0,25.0,53.38,53.38,PG,Peter Hewitt,English,United States,97,Jonathan Taylor Thomas, Brad Renfro, Charles Rocket,Family,Action,Adventure
tt0114576,Sudden Death,1995,10,20350171.0,58.0,50.0,59.0,59.0,R,Peter Hyams,English,United States,106,Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry,Action,,
tt0113189,GoldenEye,1995,11,106429941.0,72.0,80.0,65.0,68.60000000000001,PG-13,Martin Campbell,English,United Kingdom,130,Pierce Brosnan, Sean Bean, Izabella Scorupco,Adventure,Action,Thriller
tt0112346,The American President,1995,11,60079496.0,68.0,91.0,67.0,65.87,PG-13,Rob Reiner,English,United States,114,Michael Douglas, Annette Bening, Martin Sheen,Comedy,Drama,Romance
tt0112896,Dracula: Dead and Loving It,1995,12,10772144.0,58.0,11.0,60.22,60.22,PG-13,Mel Brooks,English,France,88,Leslie Nielsen, Mel Brooks, Peter MacNicol,Comedy,Horror,Fantasy
tt0112453,Balto,1995,12,11348324.0,71.0,56.0,73.0,73.0,G,Simon Wells,English,United States,78,Kevin Bacon, Bob Hoskins, Bridget Fonda,Family,Animation,Adventure
tt0113987,Nixon,1995,12,13681765.0,71.0,75.0,66.0,69.16,R,Oliver Stone,English,United States,192,Anthony Hopkins, Joan Allen, Powers Boothe,Drama,History,
tt0112760,Cutthroat Island,1995,12,10017322.0,57.0,39.0,37.0,57.62,PG-13,Renny Harlin,English,United States,124,Geena Davis, Matthew Modine, Frank Langella,Action,Adventure,
tt0112641,Casino,1995,11,42512375.0,82.0,79.0,73.0,80.0,R,Martin Scorsese,English,United States,179,Robert De Niro, Sharon Stone, Joe Pesci,Crime,Drama,
tt0114388,Sense and Sensibility,1995,12,43182776.0,77.0,97.0,84.0,74.55,PG,Ang Lee,English,United States,136,Emma Thompson, Kate Winslet, James Fleet,Drama,Romance,
tt0113101,Four Rooms,1995,12,4257354.0,67.0,13.0,57.160000000000004,57.160000000000004,R,"Allison Anders, Alexandre Rockwell, Robert Rodriguez",English,United States,98,Tim Roth, Antonio Banderas, Sammi Davis,Crime,Comedy,
tt0112281,Ace Ventura: When Nature Calls,1995,11,108385533.0,64.0,21.0,45.0,63.05,PG-13,Steve Oedekerk,English,United States,90,Jim Carrey, Ian McNeice, Simon Callow,Crime,Comedy,Adventure
tt0113845,Money Train,1995,11,35431113.0,57.0,22.0,58.51,58.51,R,Joseph Ruben,English,United States,110,Wesley Snipes, Woody Harrelson, Jennifer Lopez,Action,Comedy,Crime
tt0113161,Get Shorty,1995,10,72101622.0,69.0,88.0,82.0,64.62,R,Barry Sonnenfeld,English,United States,105,Gene Hackman, Rene Russo, Danny DeVito,Comedy,Thriller,Crime
tt0112722,Copycat,1995,05,32051917.0,66.0,75.0,54.0,64.84,R,Jon Amiel,English,United States,124,Sigourney Weaver, Holly Hunter, Dermot Mulroney,Thriller,Crime,
tt0112401,Assassins,1995,10,30303072.0,63.0,16.0,64.64,64.64,R,Richard Donner,English,France,132,Sylvester Stallone, Antonio Banderas, Julianne Moore,Action,Adventure,Crime
tt0114168,Powder,1995,10,30862156.0,66.0,50.0,68.81,68.81,PG-13,Victor Salva,English,United States,111,Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen,Drama,Fantasy,Science Fiction
tt0113627,Leaving Las Vegas,1995,10,32029928.0,75.0,91.0,82.0,72.69999999999999,R,Mike Figgis,English,United States,111,Nicolas Cage, Elisabeth Shue, Julian Sands,Drama,Romance,
tt0114057,Othello,1995,12,2844379.0,69.0,68.0,65.63,65.63,R,Oliver Parker,English,United States,123,Laurence Fishburne, Kenneth Branagh, Irène Jacob,Drama,,
tt0114011,Now and Then,1995,10,27112329.0,67.0,33.0,50.0,69.03,PG-13,Lesli Linka Glatter,English,United States,100,Christina Ricci, Demi Moore, Rosie O'Donnell,Comedy,Drama,Romance
tt0114117,Persuasion,1995,05,0.0,77.0,87.0,71.24,71.24,PG,Roger Michell,English,UK,104,Amanda Root, Ciarán Hinds, Susan Fleetwood,Drama,Romance,
tt0112682,The City of Lost Children,1995,08,1738611.0,75.0,80.0,73.0,73.17999999999999,R,"Marc Caro, Jean-Pierre Jeunet",French,France,108,Ron Perlman, Daniel Emilfork, Judith Vittet,Fantasy,Science Fiction,Adventure
tt0115012,Shanghai Triad,1995,09,2086101.0,71.0,90.0,77.0,67.53999999999999,R,Yimou Zhang,Mandarin,France,108,Gong Li, Baotian Li, Xiaoxiao Wang,Drama,Crime,
