imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3,Awards,Nominations,Adj_Box_Office,Log_Box_Office,Genre,Sub_Genre
tt0463998,Freedom Writers,2007,1,36605602.0,76.0,70.0,64.0,79.24000000000001,PG-13,Richard LaGravenese,English,Germany,123.0,Hilary Swank, Imelda Staunton, Patrick Dempsey,Drama,Drama,Unknown,0.0,0.0,47838932.65204349,17.683350356572717,Drama,Drama
tt0308353,Happily N'Ever After,2007,1,15589393.0,45.0,5.0,28.0,49.23,PG,"Paul Bolger, Yvette Kaplan, Greg Tiernan",English,United States,87.0,Sigourney Weaver, Sarah Michelle Gellar, Patrick Warburton,Action/Adventure,Animation,Comedy,0.0,0.0,20373382.243877266,16.82973981486542,Action/Adventure,Animation
tt0763840,Home of the Brave,2006,12,51708.0,56.0,22.0,42.0,54.53,R,Irwin Winkler,English,United States,106.0,Samuel L. Jackson, 50 Cent, Jessica Biel,Drama,War,Unknown,0.0,0.0,69500.57916666668,11.149090364851494,Drama,War
tt0462229,Code Name: The Cleaner,2007,1,8135024.0,46.0,4.0,33.0,51.0,PG-13,Les Mayfield,English,United States,84.0,Cedric the Entertainer, Lucy Liu, Nicollette Sheridan,Action/Adventure,Comedy,Crime,0.0,0.0,10631456.498345727,16.17932775865038,Action/Adventure,Comedy
tt0775539,Stomp the Yard,2007,5,61356221.0,54.0,25.0,44.0,69.05,PG-13,Sylvain White,English,United States,114.0,Columbus Short, Meagan Good, Ne-Yo,Drama,Music,Unknown,0.0,0.0,80184888.75563079,18.199845635577702,Drama,Music
tt0344854,Arthur and the Invisibles,2006,12,15132763.0,60.0,22.0,39.0,63.81999999999999,PG,Luc Besson,French,France,94.0,Freddie Highmore, Mia Farrow, Madonna,Action/Adventure,Sci-Fi/Fantasy,Animation,0.0,0.0,20339904.712847225,16.828095263856273,Action/Adventure,Sci-Fi/Fantasy
tt0772193,Primeval,2007,1,10597734.0,48.0,19.0,35.0,61.0,R,Michael Katleman,English,United States,93.0,Dominic Purcell, Orlando Jones, Brooke Langton,Action/Adventure,Thriller/Horror,Unknown,0.0,0.0,13849909.723934373,16.443789272448896,Action/Adventure,Thriller/Horror
tt0426883,Alpha Dog,2006,1,15309602.0,69.0,54.0,53.0,66.31,R,Nick Cassavetes,English,Germany,122.0,Emile Hirsch, Justin Timberlake, Anton Yelchin,Drama,Drama,Thriller/Horror,0.0,0.0,20577593.521527786,16.839713348662627,Drama,Drama
tt0455960,The Hitcher,2007,1,16472961.0,56.0,19.0,28.0,58.85,R,Dave Meyers,English,United States,84.0,Sean Bean, Sophia Bush, Zachary Knighton,Action/Adventure,Thriller/Horror,Crime,0.0,0.0,21528094.84894522,16.88486937722018,Action/Adventure,Thriller/Horror
tt0398808,Bridge to Terabithia,2007,2,82272442.0,72.0,85.0,74.0,72.75,PG,Gabor Csupo,English,United States,96.0,Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel,Action/Adventure,Drama,Family,0.0,0.0,107519767.3830676,18.49318527126084,Action/Adventure,Drama
tt0473308,Waitress,2007,5,19074800.0,70.0,89.0,75.0,67.38000000000001,PG-13,Adrienne Shelly,English,United States,108.0,Keri Russell, Nathan Fillion, Jeremy Sisto,Drama,Comedy,Romance,0.0,0.0,24928372.23524419,17.03151715995625,Drama,Comedy
