imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3
tt0463998,Freedom Writers,2007,01,36605602.0,76.0,70.0,64.0,79.24000000000001,PG-13,Richard LaGravenese,English,Germany,123.0,Hilary Swank, Imelda Staunton, Patrick Dempsey,Crime,Drama,
tt0308353,Happily N'Ever After,2007,01,15589393.0,45.0,5.0,28.0,49.230000000000004,PG,"Paul Bolger, Yvette Kaplan, Greg Tiernan",English,United States,87.0,Sigourney Weaver, Sarah Michelle Gellar, Patrick Warburton,Adventure,Animation,Comedy
tt0763840,Home of the Brave,2006,12,51708.0,56.0,22.0,42.0,54.53,R,Irwin Winkler,English,United States,106.0,Samuel L. Jackson, 50 Cent, Jessica Biel,Drama,War,
tt0462229,Code Name: The Cleaner,2007,01,8135024.0,46.0,4.0,33.0,51.0,PG-13,Les Mayfield,English,United States,84.0,Cedric the Entertainer, Lucy Liu, Nicollette Sheridan,Action,Comedy,Crime
tt0775539,Stomp the Yard,2007,05,61356221.0,54.0,25.0,44.0,69.05,PG-13,Sylvain White,English,United States,114.0,Columbus Short, Meagan Good, Ne-Yo,Drama,Music,
tt0344854,Arthur and the Invisibles,2006,12,15132763.0,60.0,22.0,39.0,63.81999999999999,PG,Luc Besson,French,France,94.0,Freddie Highmore, Mia Farrow, Madonna,Adventure,Fantasy,Animation
tt0772193,Primeval,2007,01,10597734.0,48.0,19.0,35.0,61.0,R,Michael Katleman,English,United States,93.0,Dominic Purcell, Orlando Jones, Brooke Langton,Adventure,Horror,
tt0426883,Alpha Dog,2006,01,15309602.0,69.0,54.0,53.0,66.31,R,Nick Cassavetes,English,Germany,122.0,Emile Hirsch, Justin Timberlake, Anton Yelchin,Crime,Drama,Thriller
tt0455960,The Hitcher,2007,01,16472961.0,56.0,19.0,28.0,58.849999999999994,R,Dave Meyers,English,United States,84.0,Sean Bean, Sophia Bush, Zachary Knighton,Action,Horror,Crime
tt0398808,Bridge to Terabithia,2007,02,82272442.0,72.0,85.0,74.0,72.75,PG,Gabor Csupo,English,United States,96.0,Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel,Adventure,Drama,Family
tt0473308,Waitress,2007,05,19074800.0,70.0,89.0,75.0,67.38000000000001,PG-13,Adrienne Shelly,English,United States,108.0,Keri Russell, Nathan Fillion, Jeremy Sisto,Drama,Comedy,Romance
tt0397044,Blood and Chocolate,2007,01,3526847.0,53.0,11.0,33.0,54.88,PG-13,Katja von Garnier,English,United States,98.0,Agnes Bruckner, Hugh Dancy, Olivier Martinez,Drama,Fantasy,Horror
tt0799949,Epic Movie,2007,01,39739367.0,24.0,2.0,17.0,39.22,PG-13,"Jason Friedberg, Aaron Seltzer",English,United States,85.0,Kal Penn, Jennifer Coolidge, Fred Willard,Comedy,Action,Adventure
tt0425430,The Messengers,2007,02,35374833.0,53.0,11.0,34.0,56.989999999999995,PG-13,"Danny Pang, Oxide Chun Pang",English,United States,90.0,Dylan McDermott, Penelope Ann Miller, Kristen Stewart,Mystery,Thriller,Horror
tt0490084,Because I Said So,2007,02,42674040.0,55.0,4.0,26.0,59.33,PG-13,Michael Lehmann,English,United States,102.0,Diane Keaton, Mandy Moore, Gabriel Macht,Romance,Comedy,
tt0367959,Hannibal Rising,2007,02,27670986.0,61.0,16.0,35.0,62.33,R,Peter Webber,English,Czech Republic,121.0,Gaspard Ulliel, Rhys Ifans, Gong Li,Crime,Drama,Thriller
tt0477051,Norbit,2007,02,95673607.0,41.0,9.0,27.0,55.81,PG-13,Brian Robbins,English,United States,102.0,Eddie Murphy, Thandiwe Newton, Terry Crews,Comedy,,
tt0382932,Ratatouille,2007,06,206445654.0,81.0,96.0,96.0,77.92,G,"Brad Bird, Jan Pinkava",English,United States,111.0,Brad Garrett, Lou Romano, Patton Oswalt,Animation,Comedy,Family
tt0469263,The Astronaut Farmer,2006,10,11003643.0,63.0,58.0,55.0,62.01,PG,Michael Polish,English,United States,104.0,Billy Bob Thornton, Virginia Madsen, Bruce Dern,Science Fiction,Adventure,Comedy
tt0259324,Ghost Rider,2007,01,115802596.0,52.0,27.0,35.0,55.27,PG-13,Mark Steven Johnson,English,United States,114.0,Nicolas Cage, Eva Mendes, Sam Elliott,Thriller,Action,Fantasy
tt0401997,Breach,2007,02,33231264.0,70.0,84.0,74.0,66.03,PG-13,Billy Ray,English,United States,110.0,Chris Cooper, Ryan Phillippe, Dennis Haysbert,Drama,Thriller,Crime
tt0778661,Daddy's Little Girls,2007,02,31366978.0,58.0,26.0,49.0,69.80000000000001,PG-13,Tyler Perry,English,United States,100.0,Gabrielle Union, Idris Elba, Tracee Ellis Ross,Comedy,Drama,Romance
tt0758766,Music and Lyrics,2007,02,50572589.0,65.0,63.0,59.0,63.99,PG-13,Marc Lawrence,English,United States,105.0,Hugh Grant, Drew Barrymore, Scott Porter,Comedy,Music,Romance
tt0481369,The Number 23,2007,02,35193167.0,64.0,7.0,64.2,64.2,R,Joel Schumacher,English,United States,101.0,Jim Carrey, Virginia Madsen, Logan Lerman,Thriller,Drama,Mystery
tt0499554,Reno 911!: Miami,2007,02,20342161.0,59.0,34.0,47.0,57.830000000000005,R,Robert Ben Garant,English,United States,84.0,Thomas Lennon, Robert Ben Garant, Kerri Kenney,Action,Comedy,Crime
