Title,Rated,Director,Language,Country,imdbID,BoxOffice,IMDB_Value,RT_Value,MC_Value,Actor_1,Actor_2,Actor_3,Actor_4
Toy Story,G,John Lasseter,English,United States,tt0114709,223225679.0,83.0,100.0,95.0,Tom Hanks, Tim Allen, Don Rickles,
Jumanji,PG,Joe Johnston,English,United States,tt0113497,100499940.0,70.0,52.0,39.0,Robin Williams, Kirsten Dunst, Bonnie Hunt,
Grumpier Old Men,PG-13,Howard Deutch,English,United States,tt0113228,71518503.0,66.0,17.0,46.0,Walter Matthau, Jack Lemmon, Ann-Margret,
Waiting to Exhale,R,Forest Whitaker,English,United States,tt0114885,67052156.0,59.0,61.0,,Whitney Houston, Angela Bassett, Loretta Devine,
Father of the Bride Part II,PG,Charles Shyer,English,United States,tt0113041,76594107.0,60.0,52.0,49.0,Steve Martin, Diane Keaton, Martin Short,
Heat,R,Michael Mann,English,United States,tt0113277,67436818.0,83.0,88.0,76.0,Al Pacino, Robert De Niro, Val Kilmer,
Sabrina,PG,Sydney Pollack,English,Germany,tt0114319,53672080.0,63.0,63.0,56.0,Harrison Ford, Julia Ormond, Greg Kinnear,
Tom and Huck,PG,Peter Hewitt,English,United States,tt0112302,23920048.0,55.0,25.0,,Jonathan Taylor Thomas, Brad Renfro, Charles Rocket,
Sudden Death,R,Peter Hyams,English,United States,tt0114576,20350171.0,58.0,50.0,,Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry,
GoldenEye,PG-13,Martin Campbell,English,United Kingdom,tt0113189,106429941.0,72.0,80.0,65.0,Pierce Brosnan, Sean Bean, Izabella Scorupco,
The American President,PG-13,Rob Reiner,English,United States,tt0112346,60079496.0,68.0,91.0,67.0,Michael Douglas, Annette Bening, Martin Sheen,
Dracula: Dead and Loving It,PG-13,Mel Brooks,English,France,tt0112896,10772144.0,58.0,11.0,,Leslie Nielsen, Mel Brooks, Peter MacNicol,
