original_title,imdb_id,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,Year,Month
Toy Story,tt0114709,373554033,81,79.65,en,Animation,Adventure,Family,Comedy,,,,,,,1995,10
Jumanji,tt0113497,262821940,104,72.0,en,Adventure,Fantasy,Family,,,,,,,,1995,12
Grumpier Old Men,tt0113228,71500000,101,64.41,en,Romance,Comedy,,,,,,,,,1995,12
Waiting to Exhale,tt0114885,81452156,127,63.0,en,Comedy,Drama,Romance,,,,,,,,1995,12
Father of the Bride Part II,tt0113041,76594107,106,62.28,en,Comedy,Family,,,,,,,,,1995,12
Heat,tt0113277,187436818,170,78.92999999999999,en,Action,Crime,Drama,Thriller,,,,,,,1995,12
Sabrina,tt0114319,53672080,127,61.65,en,Comedy,Romance,,,,,,,,,1995,12
Tom and Huck,tt0112302,23920048,97,53.38,en,Family,Action,Adventure,Drama,,,,,,,1995,12
Sudden Death,tt0114576,64350171,106,59.0,en,Action,,,,,,,,,,1995,10
GoldenEye,tt0113189,352194034,130,68.60000000000001,en,Adventure,Action,Thriller,,,,,,,,1995,11
The American President,tt0112346,107879496,114,65.87,en,Comedy,Drama,Romance,,,,,,,,1995,11
Dracula: Dead and Loving It,tt0112896,10772144,88,60.22,en,Comedy,Horror,Fantasy,,,,,,,,1995,12
Balto,tt0112453,11348324,78,73.0,en,Family,Animation,Adventure,,,,,,,,1995,12
Nixon,tt0113987,13681765,192,69.16,en,Drama,History,,,,,,,,,1995,12
Cutthroat Island,tt0112760,10017322,124,57.62,en,Action,Adventure,,,,,,,,,1995,12
Casino,tt0112641,116112375,179,80.0,en,Crime,Drama,,,,,,,,,1995,11
Sense and Sensibility,tt0114388,134582776,136,74.55,en,Drama,Romance,,,,,,,,,1995,12
Four Rooms,tt0113101,4257354,98,57.160000000000004,en,Crime,Comedy,,,,,,,,,1995,12
Ace Ventura: When Nature Calls,tt0112281,212385533,90,63.05,en,Crime,Comedy,Adventure,,,,,,,,1995,11
Money Train,tt0113845,77224232,110,58.51,en,Action,Comedy,Crime,,,,,,,,1995,11
Get Shorty,tt0113161,115101622,105,64.62,en,Comedy,Thriller,Crime,,,,,,,,1995,10
Copycat,tt0112722,32000000,124,64.84,en,Thriller,Crime,,,,,,,,,1995,05
Assassins,tt0112401,30303072,132,64.64,en,Action,Adventure,Crime,Thriller,,,,,,,1995,10
Powder,tt0114168,30862156,111,68.81,en,Drama,Fantasy,Science Fiction,Thriller,,,,,,,1995,10
Leaving Las Vegas,tt0113627,49800000,111,72.69999999999999,en,Drama,Romance,,,,,,,,,1995,10
Othello,tt0114057,0,123,65.63,en,Drama,,,,,,,,,,1995,12
Now and Then,tt0114011,27400000,100,69.03,en,Comedy,Drama,Romance,,,,,,,,1995,10
Persuasion,tt0114117,0,104,71.24,en,Drama,Romance,,,,,,,,,1995,05
La Cité des Enfants Perdus,tt0112682,1738611,108,73.17999999999999,fr,Fantasy,Science Fiction,Adventure,,,,,,,,1995,08
摇啊摇，摇到外婆桥,tt0115012,0,108,67.53999999999999,zh,Drama,Crime,,,,,,,,,1995,09
Dangerous Minds,tt0112792,179519401,99,69.57,en,Drama,,,,,,,,,,1995,08
Twelve Monkeys,tt0114746,168841459,129,75.98,en,Science Fiction,Thriller,Mystery,,,,,,,,1995,12
Babe,tt0112431,254134910,91,61.78,en,Fantasy,Drama,Comedy,Family,,,,,,,1995,07
Dead Man Walking,tt0112818,39363635,122,73.59,en,Drama,,,,,,,,,,1995,12
It Takes Two,tt0113442,19474589,101,64.5,en,Comedy,Family,Romance,,,,,,,,1995,11
Clueless,tt0112697,56631572,97,72.86,en,Comedy,Romance,,,,,,,,,1995,07
"Cry, the Beloved Country",tt0112749,676525,106,67.14,en,Drama,,,,,,,,,,1995,12
Richard III,tt0114279,2748518,104,67.77,en,Drama,War,,,,,,,,,1995,12
Dead Presidents,tt0112819,24147179,119,66.65,en,Action,Drama,Crime,War,,,,,,,1995,10
Restoration,tt0114272,0,117,63.0,en,Drama,Romance,,,,,,,,,1995,12
Mortal Kombat,tt0113855,122195920,101,58.150000000000006,en,Action,Fantasy,,,,,,,,,1995,08
To Die For,tt0114681,21284514,106,65.92,en,Drama,Comedy,Crime,,,,,,,,1995,09
How to Make an American Quilt,tt0113347,41200020,116,64.06,en,Drama,Romance,,,,,,,,,1995,10
Se7en,tt0114369,327311859,127,83.61000000000001,en,Crime,Mystery,Thriller,,,,,,,,1995,09
Pocahontas,tt0114148,346079773,81,69.4,en,Adventure,Animation,Family,Romance,,,,,,,1995,06
When Night Is Falling,tt0114916,0,96,61.0,en,Drama,Romance,,,,,,,,,1995,02
The Usual Suspects,tt0114814,23341568,106,81.98,en,Drama,Crime,Thriller,,,,,,,,1995,07
Mighty Aphrodite,tt0113819,6700000,95,67.55,en,Comedy,Romance,,,,,,,,,1995,09
Lamerica,tt0110299,0,112,72.72,it,Drama,,,,,,,,,,1994,09
The Big Green,tt0112499,0,100,55.22,en,Action,Adventure,Comedy,Family,,,,,,,1995,09
Georgia,tt0113158,0,115,58.48,en,Drama,,,,,,,,,,1995,05
Home for the Holidays,tt0113321,17519169,103,64.0,en,Comedy,Drama,Romance,,,,,,,,1995,11
Il postino,tt0110877,0,109,79.50999999999999,it,Comedy,Drama,Romance,,,,,,,,1994,04
The Indian in the Cupboard,tt0113419,0,96,64.09,en,Adventure,Family,Fantasy,,,,,,,,1995,07
Eye for an Eye,tt0116260,26877589,101,60.98,en,Thriller,Crime,,,,,,,,,1996,01
Mr. Holland's Opus,tt0113862,106269971,137,69.87,en,Drama,Music,Family,,,,,,,,1995,12
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,tt0116126,20109115,89,69.63,en,Comedy,,,,,,,,,,1996,01
Two If by Sea,tt0118002,10658278,96,49.0,en,Comedy,Romance,,,,,,,,,1996,01
Bio-Dome,tt0115683,13400000,95,45.330000000000005,en,Comedy,,,,,,,,,,1996,01
