<<<<<<< HEAD
imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3,Awards,Nominations,Adj_Box_Office,Log_Box_Office,Genre,Sub_Genre,Cluster
tt0799949,Epic Movie,2007,1,39739367.0,24.0,2.0,17.0,39.22,PG-13,"Jason Friedberg, Aaron Seltzer",English,United States,85.0,Kal Penn, Jennifer Coolidge, Fred Willard,Comedy,Action/Adventure,Action/Adventure,0.0,0.0,51934370.63397672,17.76549137622994,Comedy,Action/Adventure,0
tt0490084,Because I Said So,2007,2,42674040.0,55.0,4.0,26.0,59.33,PG-13,Michael Lehmann,English,United States,102.0,Diane Keaton, Mandy Moore, Gabriel Macht,Romance,Comedy,Unknown,0.0,0.0,55769620.33162601,17.836739840589757,Comedy,Romance,0
tt0477051,Norbit,2007,2,95673607.0,41.0,9.0,27.0,55.81,PG-13,Brian Robbins,English,United States,102.0,Eddie Murphy, Thandiwe Newton, Terry Crews,Comedy,Unknown,Unknown,0.0,0.0,125033409.96416548,18.64409153926704,Comedy,Unknown,0
tt0382932,Ratatouille,2007,6,206445654.0,81.0,96.0,96.0,77.92,G,"Brad Bird, Jan Pinkava",English,United States,111.0,Brad Garrett, Lou Romano, Patton Oswalt,Family,Comedy,Family,1.0,5.0,269798588.1508812,19.41318626877717,Comedy,Family,1
tt0469263,The Astronaut Farmer,2006,10,11003643.0,63.0,58.0,55.0,62.01,PG,Michael Polish,English,United States,104.0,Billy Bob Thornton, Virginia Madsen, Bruce Dern,Sci-Fi/Fantasy,Action/Adventure,Comedy,0.0,0.0,14789965.990625003,16.50945953519989,Comedy,Sci-Fi/Fantasy,1
tt0778661,Daddy's Little Girls,2007,2,31366978.0,58.0,26.0,49.0,69.80000000000001,PG-13,Tyler Perry,English,United States,100.0,Gabrielle Union, Idris Elba, Tracee Ellis Ross,Comedy,Drama,Romance,0.0,0.0,40992707.83854695,17.528904751253627,Comedy,Drama,0
tt0758766,Music and Lyrics,2007,2,50572589.0,65.0,63.0,59.0,63.99,PG-13,Marc Lawrence,English,United States,105.0,Hugh Grant, Drew Barrymore, Scott Porter,Comedy,Music,Romance,0.0,0.0,66092033.6513104,18.006558777911494,Comedy,Music,1
tt0770772,I Think I Love My Wife,2007,3,12550605.0,55.0,53.57,49.0,53.57,R,Chris Rock,English,United States,90.0,Chris Rock, Kerry Washington, Gina Torres,Comedy,Romance,Unknown,0.0,0.0,16402067.293891251,16.61291793935579,Comedy,Romance,0
tt0445934,Blades of Glory,2007,3,118594548.0,63.0,70.0,64.0,61.0,PG-13,"Josh Gordon, Will Speck",English,United States,93.0,Will Ferrell, Jon Heder, Amy Poehler,Comedy,Unknown,Unknown,0.0,0.0,154988206.3043667,18.85885958362973,Comedy,Unknown,1
tt0422774,Are We Done Yet?,2007,4,49662533.0,42.0,8.0,36.0,57.5,PG,Steve Carr,English,Canada,92.0,Ice Cube, Nia Long, John C. McGinley,Family,Comedy,Unknown,0.0,0.0,64902704.55098341,17.988399853394384,Comedy,Family,0
tt0476995,Firehouse Dog,2007,4,13932383.0,55.0,38.0,43.0,58.620000000000005,PG,Todd Holland,English,United States,111.0,Josh Hutcherson, Bruce Greenwood, Bree Turner,Family,Comedy,Unknown,0.0,0.0,18207877.90949253,16.717364910563468,Comedy,Family,0
tt0396555,Meet the Robinsons,2007,3,97822171.0,68.0,67.0,61.0,68.78,G,Stephen J. Anderson,English,United States,95.0,Daniel Hansen, Wesley Singerman, Angela Bassett,Family,Comedy,Family,0.0,0.0,127841313.75153127,18.666300316458937,Comedy,Family,1
tt0462338,The Hoax,2006,10,7164995.0,67.0,62.53999999999999,70.0,62.53999999999999,R,Lasse Hallström,English,United States,116.0,Richard Gere, Alfred Molina, David Aaron Baker,Comedy,Drama,Unknown,0.0,0.0,9630449.876736112,16.080440498855115,Comedy,Drama,1
tt0453451,Mr. Bean's Holiday,2007,3,33302167.0,64.0,51.0,56.0,63.38,G,Steve Bendelack,English,United Kingdom,90.0,Rowan Atkinson, Willem Dafoe, Steve Pemberton,Family,Comedy,Unknown,0.0,0.0,43521757.251256384,17.58877153771279,Comedy,Family,1
tt0772178,Kickin' It Old Skool,2007,4,4502604.0,46.0,46.0,18.0,46.0,PG-13,Harvey Glazer,English,United States,108.0,Jamie Kennedy, Maria Menounos, Miguel A. Núñez Jr.,Comedy,Unknown,Unknown,0.0,0.0,5884338.946667824,15.587804963848557,Comedy,Unknown,0
tt0756729,Year of the Dog,2007,4,1540141.0,60.0,69.0,70.0,55.0,PG-13,Mike White,English,United States,97.0,Molly Shannon, John C. Reilly, Peter Sarsgaard,Comedy,Drama,Romance,0.0,0.0,2012771.2029882995,14.515023038444488,Comedy,Drama,1
tt0458364,The Ex,2006,12,3093394.0,54.0,19.0,32.0,51.19,PG-13,Jesse Peretz,English,United States,90.0,Zach Braff, Amanda Peet, Charles Grodin,Comedy,Romance,Unknown,0.0,0.0,4157822.282638889,15.240502005418582,Comedy,Romance,0
tt0478311,Knocked Up,2007,6,148768917.0,69.0,89.0,85.0,62.42,R,Judd Apatow,English,United States,129.0,Seth Rogen, Katherine Heigl, Paul Rudd,Comedy,Romance,Drama,0.0,0.0,194422323.6946205,19.085543277217777,Comedy,Romance,1
tt0427327,Hairspray,2007,7,118871849.0,67.0,92.0,81.0,66.61,PG,Adam Shankman,English,United States,117.0,John Travolta, Queen Latifah, Nikki Blonsky,Comedy,Romance,Drama,0.0,0.0,155350603.9467643,18.861195081447946,Comedy,Romance,1
tt0791304,Georgia Rule,2007,5,19103072.0,59.0,19.0,25.0,59.7,R,Garry Marshall,English,United States,113.0,Jane Fonda, Lindsay Lohan, Felicity Huffman,Comedy,Drama,Romance,0.0,0.0,24965320.19484716,17.032998227584535,Comedy,Drama,0
tt0800003,Delta Farce,2007,5,8130530.0,36.0,5.0,17.0,50.0,PG-13,C.B. Harding,English,United States,90.0,Larry the Cable Guy, Bill Engvall, DJ Qualls,Comedy,Action/Adventure,Action/Adventure,0.0,0.0,10625583.403748397,16.178775179855418,Comedy,Action/Adventure,0
tt0494222,Eagle vs Shark,2007,7,221846.0,67.0,56.0,55.0,65.28,R,Taika Waititi,English,New Zealand,87.0,Loren Taylor, Jemaine Clement, Craig Hall,Comedy,Romance,Unknown,0.0,0.0,289924.90966615546,12.57737723624826,Comedy,Romance,1
tt0423294,Surf's Up,2007,6,58867694.0,67.0,79.0,64.0,63.38,PG,"Ash Brannon, Chris Buck",English,United States,85.0,Shia LaBeouf, Zooey Deschanel, Jon Heder,Family,Comedy,Family,0.0,0.0,76932695.94766136,18.15844151898671,Comedy,Family,1
tt0989000,In Search of a Midnight Kiss,2007,4,172605.0,72.0,85.0,64.0,65.28999999999999,Not Rated,Alex Holdridge,English,United States,90.0,Scoot McNairy, Sara Simmonds, Brian McGuire,Comedy,Drama,Romance,0.0,0.0,225573.0958995283,12.326399535730005,Comedy,Drama,1
tt0795368,Death at a Funeral,2007,8,8580428.0,73.0,68.78999999999999,67.0,68.78999999999999,R,Frank Oz,English,United States,90.0,Matthew Macfadyen, Peter Dinklage, Ewen Bremner,Comedy,Drama,Unknown,0.0,0.0,11213543.687048452,16.232632863474226,Comedy,Drama,1
tt0762114,License to Wed,2007,7,43799818.0,52.0,7.0,25.0,56.98,PG-13,Ken Kwapis,English,United States,91.0,Mandy Moore, John Krasinski, Robin Williams,Comedy,Unknown,Unknown,0.0,0.0,57240871.04137126,17.862778729891236,Comedy,Unknown,0
tt0413099,Evan Almighty,2007,6,100462298.0,54.0,24.0,37.0,55.41,PG,Tom Shadyac,English,United States,96.0,Steve Carell, Morgan Freeman, Lauren Graham,Sci-Fi/Fantasy,Comedy,Family,0.0,0.0,131291628.75374985,18.69293158060492,Comedy,Sci-Fi/Fantasy,0
tt0762107,I Now Pronounce You Chuck & Larry,2007,7,120059556.0,59.0,14.0,37.0,60.14,PG-13,Dennis Dugan,English,United States,115.0,Adam Sandler, Kevin James, Jessica Biel,Comedy,Romance,Unknown,0.0,0.0,156902788.09561017,18.871136987434543,Comedy,Romance,0
tt0772157,Broken English,2007,11,956919.0,63.0,64.0,61.0,61.0,PG-13,Zoe R. Cassavetes,English,France,97.0,Parker Posey, Melvil Poupaud, Gena Rowlands,Comedy,Drama,Romance,0.0,0.0,1250573.1662181325,14.03911253715887,Comedy,Drama,1
tt0787475,Hot Rod,2007,8,13938332.0,67.0,39.0,43.0,64.0,PG-13,Akiva Schaffer,English,United States,88.0,Andy Samberg, Isla Fisher, Ian McShane,Comedy,Action/Adventure,Drama,0.0,0.0,18215652.506679785,16.717791810274534,Comedy,Action/Adventure,0
tt0785077,Who's Your Caddy?,2007,7,5713425.0,22.0,6.0,18.0,38.63,PG-13,Don Michael Paul,English,United States,93.0,Big Boi, Jeffrey Jones, Terry Crews,Comedy,Unknown,Unknown,0.0,0.0,7466730.195763522,15.825967736482148,Comedy,Unknown,0
tt0462538,The Simpsons Movie,2007,7,183135014.0,73.0,87.0,80.0,69.93,PG-13,David Silverman,English,United States,87.0,Dan Castellaneta, Julie Kavner, Nancy Cartwright,Family,Comedy,Family,0.0,0.0,239334504.0733667,19.29337273000388,Comedy,Family,1
tt0481141,No Reservations,2007,6,43107979.0,63.0,42.0,50.0,65.44,PG,Scott Hicks,English,United States,104.0,Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin,Comedy,Romance,Drama,0.0,0.0,56336724.20266999,17.84685717535452,Comedy,Romance,1
tt0423977,Charlie Bartlett,2007,5,3951699.0,69.0,58.0,54.0,66.7,R,Jon Poll,English,United States,97.0,Anton Yelchin, Robert Downey Jr., Hope Davis,Comedy,Drama,Unknown,0.0,0.0,5164375.177388083,15.457294680785996,Comedy,Drama,1
tt0804452,Bratz,2007,8,10010209.0,30.0,10.0,21.0,57.63,PG,Sean McNamara,English,Unknown,102.0,Skyler Shaye, Janel Parrish, Logan Browning,Comedy,Music,Unknown,0.0,0.0,13082088.205621632,16.386754539998652,Comedy,Music,0
