<<<<<<< HEAD
imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3,Awards,Nominations,Adj_Box_Office,Log_Box_Office,Genre,Sub_Genre,Cluster
tt0463998,Freedom Writers,2007,1,36605602.0,76.0,70.0,64.0,79.24000000000001,PG-13,Richard LaGravenese,English,Germany,123.0,Hilary Swank, Imelda Staunton, Patrick Dempsey,Drama,Drama,Unknown,0.0,0.0,47838932.65204349,17.683350356572717,Drama,Drama,1
tt0763840,Home of the Brave,2006,12,51708.0,56.0,22.0,42.0,54.53,R,Irwin Winkler,English,United States,106.0,Samuel L. Jackson, 50 Cent, Jessica Biel,Drama,War,Unknown,0.0,0.0,69500.57916666668,11.149090364851494,Drama,War,0
tt0775539,Stomp the Yard,2007,5,61356221.0,54.0,25.0,44.0,69.05,PG-13,Sylvain White,English,United States,114.0,Columbus Short, Meagan Good, Ne-Yo,Drama,Music,Unknown,0.0,0.0,80184888.75563079,18.199845635577702,Drama,Music,0
tt0426883,Alpha Dog,2006,1,15309602.0,69.0,54.0,53.0,66.31,R,Nick Cassavetes,English,Germany,122.0,Emile Hirsch, Justin Timberlake, Anton Yelchin,Drama,Drama,Thriller/Horror,0.0,0.0,20577593.521527786,16.839713348662627,Drama,Drama,1
tt0473308,Waitress,2007,5,19074800.0,70.0,89.0,75.0,67.38000000000001,PG-13,Adrienne Shelly,English,United States,108.0,Keri Russell, Nathan Fillion, Jeremy Sisto,Drama,Comedy,Romance,0.0,0.0,24928372.23524419,17.03151715995625,Drama,Comedy,1
tt0397044,Blood and Chocolate,2007,1,3526847.0,53.0,11.0,33.0,54.88,PG-13,Katja von Garnier,English,United States,98.0,Agnes Bruckner, Hugh Dancy, Olivier Martinez,Drama,Sci-Fi/Fantasy,Thriller/Horror,0.0,0.0,4609146.876127365,15.343553338438843,Drama,Sci-Fi/Fantasy,0
tt0367959,Hannibal Rising,2007,2,27670986.0,61.0,16.0,35.0,62.33,R,Peter Webber,English,Czech Republic,121.0,Gaspard Ulliel, Rhys Ifans, Gong Li,Drama,Drama,Thriller/Horror,0.0,0.0,36162509.65274764,17.403533495193493,Drama,Drama,0
tt0401997,Breach,2007,2,33231264.0,70.0,84.0,74.0,66.03,PG-13,Billy Ray,English,United States,110.0,Chris Cooper, Ryan Phillippe, Dennis Haysbert,Drama,Thriller/Horror,Crime,0.0,0.0,43429095.91920596,17.586640187329234,Drama,Thriller/Horror,1
tt0481369,The Number 23,2007,2,35193167.0,64.0,7.0,64.2,64.2,R,Joel Schumacher,English,United States,101.0,Jim Carrey, Virginia Madsen, Logan Lerman,Thriller/Horror,Drama,Mystery,0.0,0.0,45993057.18084132,17.644001012210886,Drama,Thriller/Horror,0
tt0443706,Zodiac,2007,3,33080084.0,77.0,90.0,78.0,75.0,R,David Fincher,English,United States,157.0,Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Drama,Drama,Mystery,0.0,0.0,43231522.61230239,17.582080477219545,Drama,Drama,1
tt0768212,The Last Mimzy,2007,2,21471047.0,62.0,55.0,59.0,62.86,PG,Robert Shaye,English,United States,94.0,Joely Richardson, Rainn Wilson, Timothy Hutton,Drama,Sci-Fi/Fantasy,Action/Adventure,0.0,0.0,28059966.652149588,17.1498544441899,Drama,Sci-Fi/Fantasy,0
tt0416508,Becoming Jane,2007,3,18670946.0,70.0,58.0,55.0,73.15,PG,Julian Jarrold,English,United Kingdom,120.0,Anne Hathaway, James McAvoy, Julie Walters,Romance,Drama,Unknown,0.0,0.0,24400585.68751145,17.010117693561885,Drama,Romance,1
tt0477071,Premonition,2007,2,47852604.0,59.0,8.0,29.0,62.58,PG-13,Mennan Yapo,English,United States,96.0,Sandra Bullock, Julian McMahon, Amber Valletta,Thriller/Horror,Drama,Mystery,0.0,0.0,62537354.25470961,17.95127460424955,Drama,Thriller/Horror,0
